test_year,full,without_listing_tempo,without_county,without_beta,without_regime,without_all_groups
2010,-0.0317167767308917,-0.0317167767308917,0.1039561871962998,-0.0409867660772518,-0.0061441536604447,-0.0621496459761283
2011,0.3238441075689182,0.3238441075689182,0.2378835201305002,0.3075506602354066,0.367755785555915,0.3886069665733853
2012,0.4049649449076969,0.4049649449076969,0.4223015898162017,0.4240687283435606,0.3896465281773707,0.4365295220845621
2013,0.3943484066724774,0.3943484066724774,0.3838456965216257,0.3743583951721808,0.3808521391704358,0.3561685081623731
2014,0.4201851617460899,0.4201851617460899,0.3966784280395683,0.431280356603113,0.488831881520987,0.4714628346542909
2015,0.5797765982371312,0.5797765982371312,0.5809938415268024,0.5859179431028158,0.6027985343632531,0.5906447532840093
2016,0.6371482070525352,0.6371482070525352,0.6355450480932674,0.6592873895795954,0.6504304854154446,0.6523355986697539
2017,0.6669967238619535,0.6669967238619535,0.6778093898860726,0.6691407670821856,0.664766855655452,0.6688146706017367
2018,0.5364897189585157,0.5364897189585157,0.5192353597665835,0.535922232830396,0.5087413273300594,0.517834605293872
2019,0.7585348474192569,0.7483419385835153,0.7576549024018664,0.7535121447661943,0.7425639622527451,0.7420047210397156
2020,0.3277813830451612,0.3146529791479339,0.3139881285250089,0.3193132313172552,0.3215239939145052,0.3119215204553464
2021,0.5420235302146331,0.4555433250282296,0.5398152530402724,0.5407843573380953,0.4653236326014183,0.3743121644810742
2022,0.4728100001621844,0.4443400075363077,0.4884825292674342,0.4806491503329097,0.5223307242711867,0.4772572221018126
2023,0.5682955185852082,0.4821572127216718,0.5608206893146787,0.5678063357146257,0.6100515127884258,0.5469004155871766
2024,0.1896019930875961,0.1519413323942813,0.191925017481757,0.200295370596521,0.1733646819993107,0.1415499543299552
2025,0.2258013378144624,0.1505958017016692,0.2549440541951198,0.2203328727294626,0.091069310566342,-0.0406010462287918
