feature,importance_mean,importance_std,test_year,horizon
cs_nbr_log_price_gap,0.013530969616522082,7.463371325188281e-05,2016,10
cs_nbr_mom_5y_gap,0.0026021754207913813,3.283956303181692e-05,2016,10
cs_mom_5y,5.06802898455246e-06,0.00018178457603639674,2016,10
cs_log_price_rel_metro,0.0,0.0,2016,10
cs_mom_1y,-0.002334029981007369,3.053670831850626e-05,2016,10
cs_mom_3y,-0.003129368634134965,7.613776563206571e-05,2016,10
cs_nbr_dist_km,-0.0055458017454809395,0.00036616181848684524,2016,10
cs_log_zhvi,-0.016702891080905807,0.00017646186581202612,2016,10
