model,spearman_national,spearman_nyc,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
gbm_national,-0.3989860986197074,-0.3997110517229608,-0.17497330745116224,-0.2311849144247492,16530,815,10,2013,46995
gbm_recency,-0.40374460971852216,-0.4000311004551351,-0.17531294824296995,-0.23022278155030257,16530,815,10,2013,46995
ridge_national,-0.506648593337094,-0.535523081724814,-0.20335130265818369,-0.286177151442814,16530,815,10,2013,46995
gbm_nyc_only,-0.15358049679526994,-0.19630164027368244,-0.046939598101851596,-0.12187671208140996,16530,815,10,2013,46995
momentum_5y,-0.4281981238234448,-0.531003304807473,-0.1984534096785754,-0.27605511685667883,16530,815,10,2013,46995
catch_up_price,0.6053283988317903,0.6195224849862164,0.2536140412953506,0.3458874241889676,16530,815,10,2013,46995
catch_up_neighbors,0.49312410007012686,0.4117428047778102,0.20572494643655523,0.22359917498256246,16530,815,10,2013,46995
gbm_national,-0.40559959293157516,-0.4353884606575959,-0.17181519057431016,-0.31068154580085494,16740,817,10,2014,59569
gbm_recency,-0.40358481400100854,-0.4380251094910556,-0.17037112377835617,-0.30899945681392305,16740,817,10,2014,59569
ridge_national,-0.5289288414855402,-0.5679810331688495,-0.2054806468246242,-0.3163954298495413,16740,817,10,2014,59569
gbm_nyc_only,-0.19079944870283017,-0.2994522283830841,-0.06758338950381829,-0.2568026854568286,16740,817,10,2014,59569
momentum_5y,-0.2307754004154584,-0.5951130858477895,-0.11578879698023259,-0.4035775317865603,16740,817,10,2014,59569
catch_up_price,0.6156636160122257,0.6812759996697532,0.25272485448057,0.4246712024144408,16740,817,10,2014,59569
catch_up_neighbors,0.485513097940523,0.396404557369898,0.19663664391308516,0.23254240853543984,16740,817,10,2014,59569
gbm_national,-0.33827752604026246,-0.3484211737085983,-0.13650201960118072,-0.28912196914967836,16965,820,10,2015,72455
gbm_recency,-0.34085601306736857,-0.3714565600368161,-0.14057816265449014,-0.3031033074742282,16965,820,10,2015,72455
ridge_national,-0.4501531071993599,-0.45554271837507626,-0.15667925947809494,-0.21099706662520912,16965,820,10,2015,72455
gbm_nyc_only,-0.1976391607481651,-0.35201989393753685,-0.07427249617873745,-0.30059036314915943,16965,820,10,2015,72455
momentum_5y,-0.12306148750964213,-0.5766894727787484,-0.06537943961953216,-0.4113908174919596,16965,820,10,2015,72455
catch_up_price,0.5568587952795657,0.7080364848702093,0.21753727176031598,0.4516463469231401,16965,820,10,2015,72455
catch_up_neighbors,0.4253365632335035,0.3780750150122206,0.16348406734207246,0.23050582481768003,16965,820,10,2015,72455
gbm_national,-0.28418473963800933,-0.3553283522385434,-0.10994105101170826,-0.29502079161481065,17549,824,10,2016,85502
gbm_recency,-0.27839589456287467,-0.3556090080100036,-0.10747615456117075,-0.28372424693591236,17549,824,10,2016,85502
ridge_national,-0.3487183012686577,-0.33646498130212693,-0.11356749376017428,-0.1660491766350219,17549,824,10,2016,85502
gbm_nyc_only,-0.21402734733843634,-0.43885901685757767,-0.07903178932936361,-0.35797350304614023,17549,824,10,2016,85502
momentum_5y,0.001963880656980012,-0.48318518466435106,-0.019301607609835354,-0.3882007924100297,17549,824,10,2016,85502
catch_up_price,0.4540861854465762,0.6522298353064316,0.16804732148821522,0.41702288331221254,17549,824,10,2016,85502
catch_up_neighbors,0.3228926301976405,0.2992857876618406,0.11745454629650368,0.16762532133602215,17549,824,10,2016,85502
