origin_year,n,log_price_rel_metro,log_price_rel_metro_nyc,nbr_log_price_gap,nbr_log_price_gap_nyc,price_to_income,price_to_income_nyc,rent_yield,rent_yield_nyc,log_income,log_income_nyc,bachelors_share,bachelors_share_nyc,mom_1y,mom_1y_nyc,mom_5y,mom_5y_nyc,unemployment_rate,unemployment_rate_nyc,beta_10y,beta_10y_nyc,log_price_rel_county,log_price_rel_county_nyc,inventory_yoy,inventory_yoy_nyc,price_cut_share,price_cut_share_nyc
2010,15163,0.1769153046407212,0.4825630496801514,0.0836497627866598,0.1702353334203398,,,,,,,,,0.0273287399536875,-0.0452707894482949,0.0759717302667797,0.3797596946047575,,,-0.0693419605803193,-0.3146652424237885,0.1853785188190344,0.2918267447797392,,,,
2011,15294,-0.0211005280334049,0.3852720394875617,-0.0863734780320583,0.0809271655111961,,,,,,,,,0.0624477400410311,0.4625183919048077,-0.0512942774740805,0.4203571602219922,,,0.0929015941655567,-0.3174565337150158,-0.0163391299038577,0.2326161595268744,,,,
2012,16184,-0.1225436238790466,0.3440534512021553,-0.1842235340769137,0.0091874037837739,,,,,,,,,0.1005284030001642,0.4799019842218504,-0.1329574715583033,0.416211651055147,,,0.21202603356556,-0.1925855318059542,-0.1441389991409131,0.1343893251330956,,,,
2013,16529,-0.2983742544920824,0.1077791260306597,-0.3183814085573026,-0.1493984289725899,-0.1434668019869678,0.4587443350805585,,,-0.2762754425105475,-0.3935056148985544,-0.2716549209345782,-0.1384109537734505,0.2354795604206832,0.2923819008043474,-0.1678422110269854,0.1927878132017903,0.2328310503076256,0.2286857146106003,0.3019617558331471,0.1680216733450322,-0.3084150522666128,-0.1057008220038278,,,,
2014,16740,-0.3494688052092686,-0.0581687131344025,-0.3439193102249934,-0.2657701623472586,-0.1605900933783705,0.4138253249802222,,,-0.3250545356400557,-0.5754106746076453,-0.320677067945056,-0.4033631461009662,0.2459755757645869,0.2828658659315461,-0.0254124148281305,0.1782241145834758,0.2660816438581885,0.2993826218613007,0.3258954274623079,0.4181595480359066,-0.3627067917727826,-0.2906030383746563,,,,
2015,16962,-0.4741542891734651,-0.3227804962928696,-0.4303723134975818,-0.3851201316226064,-0.2279278896487949,0.1844507762006632,0.5085200654783367,0.7202776762879066,-0.4144768249215391,-0.6610613510518742,-0.3745039810387279,-0.5778483566053932,0.289356650433369,0.3279478262951402,0.016336842218094,0.07718162230289,0.3350932309672131,0.4162752052346388,0.3494379223869366,0.3801111568590805,-0.4657407361252692,-0.4754163077752712,,,,
2016,17549,-0.5290575252053678,-0.5086194674511157,-0.4410737567973268,-0.4400274838799785,-0.2588298410344807,0.0070102734976863,0.517403335978479,0.7422535671139844,-0.4310203965176326,-0.6709393769110669,-0.4195546344665511,-0.7339379082233963,0.3418547935509692,0.5365151984563172,0.1305733335494229,-0.0132834816929401,0.3603908565848299,0.472195704491068,0.3529858251351838,0.4437652266388499,-0.4911791793028626,-0.5635868882159037,,,,
2017,17757,-0.6009635269481618,-0.697374430736287,-0.4680050281494556,-0.4677684916977582,-0.2866682141058105,-0.2114375150742425,0.4758743481356716,0.7411304051753491,-0.4742463446050601,-0.5938617024770724,-0.5092089980074214,-0.7574251165877761,0.3105829466435232,0.4642460848144529,0.2113528545134232,0.0094284324308777,0.3699904140823785,0.4574730593070245,0.3543631272546338,0.4948804920007688,-0.5314831478297011,-0.6453665481611933,,,,
2018,17961,-0.5374441849246849,-0.7290704835508394,-0.3599042292127036,-0.3256177753462598,-0.3046095382184151,-0.4664119207371149,0.4265212723123532,0.6962834424285024,-0.3722590031764575,-0.3087271331393428,-0.4752102305944221,-0.5433311062470306,0.3113081079919668,0.23334059226934,0.2407247903239249,-0.1425944119376093,0.2975462950445017,0.2565447648586565,0.2875424111213204,0.2329301922757503,-0.4274511524222226,-0.4022951533722738,,,-0.2975712002553507,-0.0680715845556573
2019,18395,-0.2751424624251654,-0.5697858513300066,-0.1641509138315999,-0.1573099310991573,-0.2430233453732501,-0.4576076712492708,0.2944010819480234,0.5476131697609391,-0.1222607479485321,-0.1055156754217336,-0.222446143242535,-0.2858346870259662,0.1869597148361708,0.4302624737793717,0.1450311530242586,-0.0023614138715252,0.1196853078626677,0.0410905541975772,0.1158994733840505,0.2263007216724286,-0.1907306376779984,-0.1914389830499729,-0.0991055088491249,-0.2271866662527086,-0.2048457276451783,0.2086457422111567
2020,18477,-0.170473536160906,-0.4528948541846622,-0.0898985479012744,-0.0379055574556274,-0.239691766136224,-0.5065688811764179,0.230778345657721,0.5304111102343566,-0.0069865379372189,0.0757159948031645,-0.0579206270585363,-0.0663883709687678,0.0620022974449587,0.2054507640885038,0.0506665104149682,-0.0556410484933107,0.0337521502560973,-0.0596360591890125,0.0184863281160585,0.2318891302170316,-0.0920455415528681,0.0065042532719753,-0.1397344702038125,-0.4611896587166401,-0.2037817532059204,0.1987082363754251
2021,18645,-0.0781935180355863,-0.3169033610710741,-0.0574655487739131,-0.0347378102635465,-0.1740507413930307,-0.4742707761220185,0.1067321801072129,0.5467965351802415,0.0599198261111375,0.1890327758264892,0.0409536979994142,0.0345019664981812,0.198960693357084,0.7001961588421131,0.099197076914959,0.2938707439147458,-0.0286423563796084,-0.0569090769913809,0.1415849192935453,0.6572449524471151,-0.0394477284031421,0.0093252414357348,-0.1012331923014254,-0.421253022709998,-0.1850378109766431,-0.1655592991175591
2022,19034,-0.0686377810119227,-0.3683683177667928,-0.046790678430567,-0.0980809160898857,-0.1443468429622105,-0.5401994960773964,-0.0327176470129403,0.5570973723314997,0.0552205665707756,0.2180251364110099,0.0120620070453676,0.0305364883017236,0.0979929695415148,0.2656737612852416,0.0615120721889902,0.2762249614791988,-0.0446597563743518,-0.0881598238452873,0.031699797094031,0.3591952890153883,-0.0337876449662116,-0.0916493518313657,-0.0525537419083927,-0.1870740794527583,-0.0752201719219985,-0.1876688228422784
2023,19084,0.0882903284818708,0.07609580693426,0.0870632660070589,0.10072121495896,-0.0503952354680341,-0.3651164886596199,-0.2221663155866717,0.1993324833120828,0.1483737381054622,0.4067976639311238,0.003776943642504,0.2306946146151712,0.1713454757080597,0.406475516583563,0.1321834942803451,0.2308691714081831,-0.1168304162147168,-0.2379411507853056,0.0240360449136319,0.1734069271192852,0.1251685435200344,0.1869511385144925,-0.1493927549799854,-0.263826477796988,-0.1115594784362135,-0.2486724851422106
