feature,importance_mean,importance_std,test_year,horizon
cs_mom_1y,0.0036210483949431,2.368570294032724e-05,2025,1
cs_rent_yield,0.0016174009575272,2.6126259839355036e-05,2025,1
cs_mom_3y,0.0011839475865212,5.78539000274502e-05,2025,1
cs_log_price_rel_county,0.001068073115131,3.039770142004417e-05,2025,1
cs_price_cut_share,0.0008519272772154,6.677865794751395e-05,2025,1
cs_rent_mom_3y,0.0007579029784553,5.271300494128308e-05,2025,1
cs_log_zhvi,0.0004637793887335,7.736752098996922e-06,2025,1
cs_nbr_dist_km,0.00038728995843,1.883638534411723e-05,2025,1
cs_inventory_yoy,0.0003042949440104,6.774199220614514e-05,2025,1
rg_metro_cheap_sign_1y,0.0002833419576989,0.0001395984495385,2025,1
cs_inv_to_new_listings,0.0002611717688187,2.8573865584624304e-05,2025,1
cs_owner_share,0.0002131019874536,6.1134693942081056e-06,2025,1
cs_nbr_log_price_gap,0.0002090876524182,4.876101892631272e-05,2025,1
cs_log_income,0.0001955898201546,1.956548017967416e-05,2025,1
rg_metro_mom_sign_1y,0.0001876552792949,6.0424176460682434e-05,2025,1
cs_price_cut_share_yoy,0.0001875876565764,1.1030646889031792e-05,2025,1
cs_days_pending_yoy,9.986127666540556e-05,1.1885681680196956e-05,2025,1
cs_transit_share,9.658482405961824e-05,1.441643196237076e-05,2025,1
cs_log_acs_rent,8.893615562166612e-05,6.826276322940621e-07,2025,1
cs_median_year_built,8.877832606666673e-05,2.2689871164857025e-05,2025,1
cs_inflow_share,6.436888867100699e-05,4.590962317894317e-06,2025,1
cs_young_adult_share,5.784091325396664e-05,9.376049055013542e-06,2025,1
cs_bachelors_share,5.231625600718437e-05,8.38649831211731e-06,2025,1
cs_beta_10y,3.5423934473745776e-05,2.4617327036005757e-05,2025,1
cs_d5_log_income,1.627233434419358e-05,5.874839507415445e-06,2025,1
cs_unemployment_rate,8.376858524829686e-06,2.336964196221937e-06,2025,1
rg_mom_sign_3y,0.0,0.0,2025,1
rg_price_to_rent_dev,0.0,0.0,2025,1
rg_rate_level,0.0,0.0,2025,1
rg_rate_change_1y,0.0,0.0,2025,1
rg_natl_mom_1y,0.0,0.0,2025,1
rg_mom_sign_1y,0.0,0.0,2025,1
cs_log_price_rel_metro,0.0,0.0,2025,1
rg_cheap_sign_3y,0.0,0.0,2025,1
rg_cheap_sign_1y,0.0,0.0,2025,1
cs_days_pending,-4.4024556434170886e-07,3.5242223871619e-07,2025,1
cs_d5_inflow_share,-8.779452759279568e-07,1.6166643610820831e-06,2025,1
cs_log_housing_units,-1.129803356855752e-06,5.483874112665665e-07,2025,1
cs_d5_young_adult_share,-3.926190090638992e-06,3.220734818240826e-06,2025,1
cs_d5_bachelors_share,-9.903205723420702e-06,5.208657659058867e-06,2025,1
cs_d5_owner_share,-1.391066569904805e-05,2.7121016677509048e-05,2025,1
cs_d5_log_pop,-2.5942560772776457e-05,3.475889235920227e-06,2025,1
cs_d5_log_housing_units,-2.6163345407961835e-05,9.265091123521704e-06,2025,1
cs_county_log_price_rel_metro,-4.255199708456947e-05,5.156101464068611e-06,2025,1
cs_price_to_income,-5.897203133375476e-05,1.3840847448938334e-05,2025,1
cs_new_listings_yoy,-7.089639959305394e-05,1.35546160383382e-05,2025,1
cs_acs_rent_to_price,-7.497727464668887e-05,4.3584958207597694e-06,2025,1
cs_median_age,-7.768145789712837e-05,1.3588836599353184e-05,2025,1
cs_mom_1y_rel_county,-9.406636803990324e-05,1.1533566163674248e-05,2025,1
cs_log_pop,-0.0001005875777899,1.0666320633120588e-05,2025,1
cs_nbr_mom_5y_gap,-0.0001279978273152,2.4086007777567093e-05,2025,1
cs_inv_per_1k_units,-0.0001304361384323,1.304324844329596e-05,2025,1
cs_mom_5y,-0.0001427555686036,2.8918246847527024e-05,2025,1
cs_vacancy_share,-0.0001572212703328,2.4382395608317675e-05,2025,1
