rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,origin
34,65.93825346136488,96.028880866426,3.929678007565407,68.25563593530872,63.62087098742104,08724,Brick,Ocean County,NJ,524165.0,0.12888381454651246,-0.34906894325292903,-0.7682161984722935,0.05793336920615965,-0.2637733172446872,-0.12469784867191974,0.02705766203166604,-0.03654327963049982,2026-07-31
35,65.46872878875593,95.90854392298436,3.929678007565407,64.45541180842463,66.48204576908722,12563,Patterson,Putnam County,NY,485898.0,0.05296766700227665,-0.4248773189163213,-0.15999185126872106,,-0.2928136859668513,-0.17676773311495786,-0.27767297401644164,-0.2505173079051805,2026-07-31
36,64.9509709297036,95.78820697954272,2.297315518504872,66.33951892359804,63.56242293580916,08740,Ocean Gate,Ocean County,NJ,452864.0,0.13752500250998914,-0.4952837020321663,-0.3194348462944081,,-0.013870476530456033,-0.15591392301320917,-0.04183973681784359,-0.06017404180061421,2026-07-31
37,64.40833634024676,95.66787003610109,2.297315518504872,64.33238540129474,64.48428727919878,11778,Rocky Point,Suffolk County,NY,558708.0,0.03664757458763504,-0.28524851073766655,-0.15539146908235857,,-0.4030395656029804,-0.12281977434957342,0.025039383666822346,0.008469765751176347,2026-07-31
38,64.01141676964826,95.54753309265945,2.297315518504872,70.55354986248639,57.46928367681012,08734,Lanoka Harbor,Ocean County,NJ,576777.0,0.12016099229014046,-0.25341996235743736,-0.012767482458849955,,-0.2857532890493826,-0.16700136473309624,0.04656828946569824,-0.23477045192453055,2026-07-31
39,63.97779384952353,95.4271961492178,2.297315518504872,68.23092626364462,59.72466143540244,10537,Lake Peekskill,Putnam County,NY,435796.0,0.08135815960909412,-0.5337016871120355,-0.3712435166981063,,-0.696132716332069,0.060648002683511226,0.05169098313508691,-0.011188350965657803,2026-07-31
40,63.93984244008729,95.30685920577618,2.297315518504872,64.74381356010036,63.13587132007421,10512,Carmel,Putnam County,NY,520032.0,0.07480676741531803,-0.3569856644999909,-0.20465751776173136,,-0.40387631049242967,-0.05707721447167652,-0.048934322125264273,-0.07515407900793543,2026-07-31
41,63.84031329906129,95.18652226233453,2.297315518504872,67.89097144588021,59.78965515224238,08753,Toms River,Ocean County,NJ,549575.0,0.10735570988091006,-0.30173088474660936,-0.23211276344917664,0.060234420108155294,-0.23656543149866605,-0.1135428536959801,0.007776898618518047,0.04707100034651672,2026-07-31
42,63.81712160033632,95.0661853188929,2.297315518504872,63.62283448557806,64.01140871509459,11967,Shirley,Suffolk County,NY,551177.0,0.09228023833254398,-0.2988204220679993,-0.16106927358938705,,-0.29263692574889544,-0.29043622418368925,0.01851941201380214,-0.026870702325669973,2026-07-31
43,63.76204609780591,94.94584837545126,2.297315518504872,68.665108907128,58.85898328848381,08533,New Egypt,Ocean County,NJ,574226.0,0.05967918820174703,-0.2578539628400609,0.18586263280721482,,-0.2691309456270059,-0.17274310160962508,-0.15182192746336476,0.10226049595062507,2026-07-31
44,63.752111259295106,94.82551143200962,2.297315518504872,66.07384345433684,61.43037906425338,08555,Roosevelt,Monmouth County,NJ,509901.0,0.06205718125138518,-0.37665894454525883,-0.3934688444169314,,-0.35588244592325435,-0.05997021649302442,-0.18994746527213202,0.10571747036835726,2026-07-31
45,63.57686496840033,94.70517448856799,2.297315518504872,64.92065012236854,62.23307981443212,18371,Tamiment,Pike County,PA,315290.0,0.05598816291333222,-0.857384604250317,-0.08797638829232746,,-0.7677353567964762,-0.4172505873872567,0.0188948940396525,0.12308472218471538,2026-07-31
46,63.56511215170534,94.58483754512635,2.297315518504872,64.0089865468475,63.12123775656319,10509,Brewster,Putnam County,NY,540585.0,0.04241279924151656,-0.3182251003019445,-0.25025398010104105,,-0.3576966820252985,-0.05631514110606395,-0.12029534463420433,0.03401034248083183,2026-07-31
47,63.52810038812905,94.46450060168472,2.297315518504872,65.43196870941803,61.624232066840065,08087,Tuckerton,Ocean County,NJ,424554.0,0.13222005413266338,-0.559836496043923,-0.23252628694937627,0.06927423175501296,-0.356851161547451,-0.19996197083439465,0.09123766907659814,-0.09475131660586884,2026-07-31
48,63.341839083719954,94.34416365824309,2.297315518504872,63.61108603671366,63.07259213072625,11738,Farmingville,Suffolk County,NY,668812.0,0.08826560469450265,-0.10537251530294967,0.012277874320497872,,-0.3266219859322874,-0.17371785582867616,0.008732886063427259,-0.06716968417993359,2026-07-31
49,63.20370940046229,94.22382671480143,2.297315518504872,67.0008454326457,59.40657336827887,08835,Manville,Somerset County,NJ,487522.0,0.06805286499163579,-0.4215407858599818,-0.2316722574020158,,-0.2364576645117531,-0.22043829776740365,0.06186383153001529,0.05769104836375254,2026-07-31
50,63.19172032005933,94.1034897713598,2.297315518504872,64.00189572414227,62.381544915976384,11789,Sound Beach,Suffolk County,NY,535124.0,0.025339227510436407,-0.3283776636456146,-0.1810338632768964,,-0.4863405559397702,-0.027886244693685003,0.02255105611987851,-0.02713152633770806,2026-07-31
51,63.07984178663288,93.98315282791818,2.297315518504872,66.86162629657801,59.298057276687764,07848,Lafayette Township,Sussex County,NJ,490308.0,-0.0014451301077272605,-0.41584212475710736,0.023115188989589086,,-0.5490890251352287,-0.07968011485221377,0.15167875814024434,-0.18027835582921864,2026-07-31
52,63.059089659454116,93.86281588447653,2.297315518504872,61.8882091669098,64.22997015199843,08721,Bayville,Ocean County,NJ,541997.0,0.09988756098761478,-0.31561530655133296,-0.03380585560712035,0.06365346202441056,-0.2509154181417028,-0.2087225186058168,-0.052409135404269946,0.0812832520507814,2026-07-31
53,62.91008767947122,93.7424789410349,2.297315518504872,63.27525989800576,62.54491546093668,07465,Wanaque,Passaic County,NJ,523601.0,-0.05230333641588167,-0.3501454527991683,-0.23760365278451623,,-0.3752023705203371,-0.004205618920023357,-0.1158078250272574,-0.07127426696403445,2026-07-31
54,62.78771169910983,93.62214199759326,2.297315518504872,65.9966125299551,59.578810868264554,08848,Milford,Hunterdon County,NJ,538295.0,0.0023516832708757873,-0.3224700614972331,-0.029774956812316233,,-0.5329062888384499,-0.04324247132031711,0.0008996209953835432,-0.1964605060762687,2026-07-31
55,62.72430235555907,93.50180505415162,2.297315518504872,61.50973467459024,63.938870036527895,08723,Brick,Ocean County,NJ,526199.0,0.08918379014696712,-0.34519614408298516,-0.5094290718206071,0.06372743735830987,-0.312006557236127,-0.15787202568820463,0.12296857232838221,-0.06335852915000269,2026-07-31
56,62.70082977960488,93.38146811070999,2.297315518504872,65.24988362158297,60.151775937626795,07803,Mine Hill Township,Morris County,NJ,507256.0,0.03890517337235125,-0.381860964756628,-0.07954933130288389,,-0.44461479128759795,-0.07744863328369356,0.03956126894141754,0.08695982592133182,2026-07-31
57,62.618494042903606,93.26113116726835,2.297315518504872,67.85191043475041,57.385077651056804,08741,Pine Beach,Ocean County,NJ,584712.0,0.15053409426915856,-0.2397565520555851,0.012944981896742647,,-0.4820014446033636,-0.0002361871254337733,0.1847532843057671,-0.005022819106523094,2026-07-31
58,62.52161639839032,93.14079422382672,2.297315518504872,64.79431709366735,60.24891570311329,07480,West Milford,Passaic County,NJ,499641.0,0.0402711236547372,-0.3969870650669556,-0.06595979088505999,,-0.5636402665530895,-0.09011333162946933,0.04457805288730832,-0.13592459123211825,2026-07-31
59,62.43001840482035,93.02045728038509,2.297315518504872,70.46756121345194,54.39247559618876,08092,West Creek,Ocean County,NJ,528209.0,0.09736172996542117,-0.34138468348871065,-0.1646974684414122,,-0.32522478467919425,-0.0925357779979043,0.17605408072909157,-0.21615743250785496,2026-07-31
60,62.349468131267,92.90012033694343,2.297315518504872,57.727015785078194,66.97192047745581,11722,Central Islip,Suffolk County,NY,578597.0,-0.006029696452797134,-0.2502706867955702,-0.19725699416809306,0.06450188568297638,-0.26564200298893437,-0.2973229649098479,0.1876738929754289,0.015891025445228288,2026-07-31
