model,spearman_national,spearman_nyc,spearman_nyc_within_county,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
momentum_5y,-0.2943889908004184,0.271661786748658,0.003315150327747,-0.1016588361049319,0.1106157518794385,16184,806,5,2012,98704
catch_up_price,0.3188443234803081,-0.1357999331596416,0.1987721939929238,0.1059092882749938,-0.0509192904628311,16184,806,5,2012,98704
catch_up_neighbors,0.3277845382648176,0.1494767791060225,0.2366361847605747,0.1033153820761667,0.0399454234040929,16184,806,5,2012,98704
beta_x_metro_trend,-0.0101171066877522,0.0056128898780789,-0.0519875726327633,-0.0003948478788033,0.0016811545166959,16184,806,5,2012,98704
gbm_national,-0.0871557706782672,0.0789026083594831,-0.1372997244601041,-0.0347658976484115,0.0560947648732208,16526,815,5,2013,112277
gbm_recency,-0.0542693439742719,0.1312659769444323,-0.0843642122667155,-0.0239732841554196,0.0596505656349995,16526,815,5,2013,112277
ridge_national,-0.1239503104662114,-0.5153122636431912,-0.3873443480505508,-0.0324917250001892,-0.1808432465835005,16526,815,5,2013,112277
gbm_county_target,0.0500822950730628,0.2159279107853629,0.4061192415819828,0.0050799770442706,0.0794319714799382,16526,815,5,2013,112277
gbm_nyc_only,0.1422390684032933,0.513282066719454,0.2304483239893194,0.0599931490379199,0.1998000443342926,16526,815,5,2013,112277
momentum_1y,0.1856742775331526,0.1942582837268364,-0.1218378637759622,0.0568023265296733,0.086323453004944,16526,815,5,2013,112277
momentum_5y,-0.3161420776571589,0.0454032521440431,-0.2779814203385654,-0.1061087148696581,0.045148184408812,16526,815,5,2013,112277
catch_up_price,0.4728653020454231,0.1012326908122649,0.5164242131409685,0.1464280001478838,0.0394988813538001,16526,815,5,2013,112277
catch_up_neighbors,0.4466160324500441,0.2849890760482604,0.4565421114080544,0.1355329042149465,0.0985114229093771,16526,815,5,2013,112277
beta_x_metro_trend,0.0538372423670209,0.3169708001074736,0.3549942540747471,0.0263629911143337,0.1083611490635328,16526,815,5,2013,112277
gbm_national,-0.2058148889267772,-0.0661881991007641,-0.2673128185916648,-0.0658204855610648,-0.0046015773654761,16740,817,5,2014,127192
gbm_recency,-0.2081696504839444,-0.0788975057392694,-0.2524771532453073,-0.0706734330347149,-0.0155317560429943,16740,817,5,2014,127192
ridge_national,-0.2467284857693228,-0.4050236057769239,-0.4720474089834235,-0.0676441729639682,-0.1369855512157232,16740,817,5,2014,127192
gbm_county_target,-0.2465162624591062,-0.088128725288046,-0.2276677154111788,-0.0783785418737477,-0.0299361585265777,16740,817,5,2014,127192
gbm_nyc_only,-0.0362246959578019,0.1357703392651587,-0.0853650828952563,0.0100068434607338,0.0810203211929165,16740,817,5,2014,127192
momentum_1y,0.2481443566943867,0.048600080510943,-0.1079978221107543,0.0746446908254029,0.0441465619310905,16740,817,5,2014,127192
momentum_5y,-0.1485401514544188,-0.1289797154613768,-0.4887215269458994,-0.0531387891561763,-0.0406040370316866,16740,817,5,2014,127192
catch_up_price,0.5613089865457316,0.3806029502864221,0.700648977948985,0.1669526624541817,0.148842091261223,16740,817,5,2014,127192
catch_up_neighbors,0.4899109515740618,0.4041494465110293,0.5281714352825897,0.1428495455805984,0.1475892170169831,16740,817,5,2014,127192
beta_x_metro_trend,0.0789613438834801,0.5108933684206225,0.5127384790159671,0.0493702877844313,0.1926269798139226,16740,817,5,2014,127192
gbm_national,-0.2742460372838395,-0.0361739703113993,-0.0679227538324784,-0.0796732690342683,-0.00275415484758,16966,820,5,2015,142357
gbm_recency,-0.2526524981368111,-0.055361249467188,-0.1237255879835471,-0.0718410194456476,-0.0135600866249935,16966,820,5,2015,142357
ridge_national,-0.3101251202833015,-0.2657315511597916,-0.4487823750001714,-0.0868467003283083,-0.0901551550995381,16966,820,5,2015,142357
gbm_county_target,-0.2670886078750357,0.1152734118124332,0.003447773459397,-0.0750509229690902,0.0697513034574696,16966,820,5,2015,142357
gbm_nyc_only,-0.1893917245841337,-0.1390132796805207,-0.2814655729246612,-0.0355135377431071,-0.0625683743852827,16966,820,5,2015,142357
momentum_1y,0.275141203288437,0.1986598557089294,0.1397053518401887,0.0799544700364117,0.0673608130794675,16966,820,5,2015,142357
momentum_5y,-0.0341903272149851,-0.2215657015466669,-0.4804898302135377,-0.0160836695787017,-0.1018673725350814,16966,820,5,2015,142357
catch_up_price,0.6227803757151452,0.5963043937435666,0.7830623841937934,0.1789235109340288,0.2565309232239099,16966,820,5,2015,142357
catch_up_neighbors,0.5108474200086421,0.4706726195664117,0.5792725478912137,0.1454430140390692,0.2001910086025219,16966,820,5,2015,142357
beta_x_metro_trend,0.1259388892649645,0.4100636703081706,0.436776183527034,0.0462284412591788,0.1736509423691179,16966,820,5,2015,142357
gbm_national,-0.3330563070962304,-0.2289663781463849,-0.2024181895043086,-0.1048009624794474,-0.116049104774792,17547,824,5,2016,157650
gbm_recency,-0.3606148506018786,-0.3214250492514952,-0.3472507332418177,-0.115007527240854,-0.1568791258341793,17547,824,5,2016,157650
ridge_national,-0.2402618396972665,0.011094214330067,-0.3888717103571651,-0.0683380535550012,0.0157672516272698,17547,824,5,2016,157650
gbm_county_target,-0.3660271807821554,-0.321043842142121,-0.4806312125314256,-0.1125596065157008,-0.1111737890183997,17547,824,5,2016,157650
