model,spearman_national,spearman_nyc,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
ridge_national,0.430350869740316,0.6559835280728896,0.064000388071449,0.11967393489949,16966,820,2,2015,190290
gbm_nyc_only,0.2012589929640236,0.4910309677844807,0.0316702382160487,0.091774831209145,16966,820,2,2015,190290
momentum_1y,0.308851498138907,0.3943097966218715,0.0452341305925371,0.0727186013121927,16966,820,2,2015,190290
momentum_5y,0.0753179572493642,0.1531890592290326,0.0101875199562188,0.0388544445586521,16966,820,2,2015,190290
catch_up_price,0.3809310645630175,0.186290413586097,0.0582571882279108,0.0319986400833011,16966,820,2,2015,190290
catch_up_neighbors,0.3480920035589444,0.3226479962480916,0.0523788089151932,0.0552436170122218,16966,820,2,2015,190290
gbm_national,0.4718002125437665,0.6411222155612204,0.0717204204595947,0.1123736255567181,17544,824,2,2016,207029
gbm_recency,0.4726723244181988,0.631626870457575,0.0715517619891446,0.1085974579099045,17544,824,2,2016,207029
ridge_national,0.4722562735584542,0.7102932139643674,0.0711922269595972,0.1190125156055464,17544,824,2,2016,207029
gbm_nyc_only,0.2768953465890906,0.4801690798201314,0.0438806860345486,0.078043514401839,17544,824,2,2016,207029
momentum_1y,0.3774367825473734,0.5754167086985481,0.0569772815375888,0.1018791474971165,17544,824,2,2016,207029
momentum_5y,0.2078459656842377,0.1799289373889647,0.0293326411713168,0.0353084239771099,17544,824,2,2016,207029
catch_up_price,0.4524491916490514,0.3436858671534084,0.0692475126537878,0.065780396523062,17544,824,2,2016,207029
catch_up_neighbors,0.4008759410549331,0.3872663433204864,0.0606588367782824,0.0730534463400562,17544,824,2,2016,207029
gbm_national,0.5357245018681731,0.7034947823280884,0.0797350214972656,0.1370133766921326,17757,825,2,2017,223995
gbm_recency,0.536980504148081,0.7009720491784011,0.0798528587431885,0.1327081210329429,17757,825,2,2017,223995
ridge_national,0.5411121821353625,0.7272710389824099,0.0795096958420045,0.1426033308671928,17757,825,2,2017,223995
gbm_nyc_only,0.3270853639248596,0.3809675613180632,0.0500582372767697,0.0762741437462877,17757,825,2,2017,223995
momentum_1y,0.3238193485243645,0.51515667713004,0.0489524407170795,0.0998722014661681,17757,825,2,2017,223995
momentum_5y,0.2541616981079967,0.1301680170432027,0.0385328962534192,0.0138288023251673,17757,825,2,2017,223995
catch_up_price,0.5683739930949937,0.5698937659345756,0.084001364264267,0.1198498124859979,17757,825,2,2017,223995
catch_up_neighbors,0.4592603007545218,0.4421384747211405,0.066795352194917,0.089001257846057,17757,825,2,2017,223995
gbm_national,0.5072385798807022,0.5995502441935332,0.0668421062448495,0.152224542883602,17963,826,2,2018,241539
gbm_recency,0.5062806828130808,0.6014552438728038,0.0665703065316419,0.150272786025338,17963,826,2,2018,241539
ridge_national,0.4950420256918715,0.6214946949224407,0.064568959336179,0.1565721226787689,17963,826,2,2018,241539
gbm_nyc_only,0.3421388201277183,0.333934881547039,0.0448055733970933,0.080516413465432,17963,826,2,2018,241539
momentum_1y,0.3311916364561447,0.4001311737464445,0.0458071727723062,0.0939955201568858,17963,826,2,2018,241539
momentum_5y,0.3095129080717793,0.1082693294981277,0.0402363262427552,0.0284679725127118,17963,826,2,2018,241539
catch_up_price,0.5499373187106901,0.691079788164206,0.0725964506567386,0.1650875947030399,17963,826,2,2018,241539
catch_up_neighbors,0.3919459086096793,0.4162592829254011,0.0520467174264015,0.0971344090581718,17963,826,2,2018,241539
gbm_national,0.425618084714755,0.4118130886160681,0.0653578118140699,0.118098911343599,18395,829,2,2019,259296
gbm_recency,0.4357302103059973,0.4501362454064436,0.0670441672776769,0.1245861382574467,18395,829,2,2019,259296
ridge_national,0.4019283581692388,0.4149884691121964,0.0601836339145639,0.0974394848766363,18395,829,2,2019,259296
gbm_nyc_only,0.3457875391305474,0.2254974268501077,0.0528661552581896,0.0613452040002629,18395,829,2,2019,259296
momentum_1y,0.2955142119238497,0.4931052117599368,0.0469810862274222,0.1313913551931519,18395,829,2,2019,259296
momentum_5y,0.2944197103454601,0.0736986940290296,0.04187858574867,0.0097906944406861,18395,829,2,2019,259296
catch_up_price,0.4646862164956289,0.6917581060066562,0.0714186576686502,0.1820967211053797,18395,829,2,2019,259296
catch_up_neighbors,0.3000555805493902,0.2521260494109879,0.0460230680362988,0.062470011542533,18395,829,2,2019,259296
gbm_national,0.1326028456014978,0.2330772294611919,0.0274765987894925,0.0768945716380231,18475,829,2,2020,277259
gbm_recency,0.1352849930538325,0.2486139870753797,0.0281684046802201,0.0859573041825132,18475,829,2,2020,277259
ridge_national,0.0811636247251869,0.07611616024069,0.0170092942965436,0.0219946282573598,18475,829,2,2020,277259
gbm_nyc_only,0.1242710362105785,0.2257533622190023,0.0237077936286801,0.0799239982700464,18475,829,2,2020,277259
momentum_1y,0.0445774456173725,0.1698085360795992,0.009821042933091,0.0600528397565532,18475,829,2,2020,277259
momentum_5y,0.0522243503090217,-0.0845506038281059,0.0123811579135248,-0.009679103189096,18475,829,2,2020,277259
catch_up_price,0.1431531403146884,0.3876947555260113,0.0286204201522844,0.1016342262500504,18475,829,2,2020,277259
catch_up_neighbors,0.0574523889587729,0.0042657231092031,0.0127196799212897,0.0016730120862245,18475,829,2,2020,277259
gbm_national,-0.0058681482220914,0.5146938833110803,0.0019906274422729,0.1245841506646664,18645,829,2,2021,295654
gbm_recency,-0.0022060997226291,0.5324399923078268,0.0019185569147256,0.1256508280607762,18645,829,2,2021,295654
ridge_national,-0.0292017598901409,0.3544121206070413,-0.0034801437453082,0.0895304493403032,18645,829,2,2021,295654
gbm_nyc_only,-0.0107511845642011,0.5358518249849453,-0.0013904185429126,0.1204999816897288,18645,829,2,2021,295654
momentum_1y,0.1384143438858468,0.7458911431112819,0.0230491119022919,0.1636644710474622,18645,829,2,2021,295654
momentum_5y,0.0081109337865602,0.3487521917853761,0.0035624546771026,0.0799600812998531,18645,829,2,2021,295654
catch_up_price,-0.0276424819153539,0.2971556230691897,-0.0049019081682034,0.0733002840638275,18645,829,2,2021,295654
catch_up_neighbors,-0.0346347818329665,0.0133730253529911,-0.0077154142977764,-0.0027350518798349,18645,829,2,2021,295654
gbm_national,0.1490933335435356,0.5181353093709079,0.0219121392664228,0.172400897102075,19036,829,2,2022,314129
gbm_recency,0.1434675790819618,0.511362637311716,0.0217199565769316,0.169277123757223,19036,829,2,2022,314129
ridge_national,0.172062700364197,0.3825844522475489,0.0227965245679117,0.1261220920325616,19036,829,2,2022,314129
gbm_nyc_only,0.1206386822492623,0.470417970197252,0.0152652333530734,0.1537943198199431,19036,829,2,2022,314129
momentum_1y,0.0580909749720253,0.3234408868494379,0.0163617486990782,0.1169318182749419,19036,829,2,2022,314129
momentum_5y,0.1145212658979404,0.3200396855078442,0.0178792308737781,0.1284935172369248,19036,829,2,2022,314129
catch_up_price,0.205635509066972,0.3946312759297535,0.0230456160038591,0.1037823976242154,19036,829,2,2022,314129
catch_up_neighbors,0.1619085882718066,0.0969461366288338,0.0157131308139155,0.0131025666509339,19036,829,2,2022,314129
gbm_national,0.11531104521483,0.4380727886440485,0.0141444041297791,0.0869785437780777,19082,830,2,2023,332774
gbm_recency,0.1218936201396137,0.4242643539279728,0.0164423675719481,0.086184793862039,19082,830,2,2023,332774
ridge_national,0.0826696493078465,0.3633497221522514,0.0083739002604565,0.0642585519868938,19082,830,2,2023,332774
gbm_nyc_only,0.0767110564239423,0.4331934471237736,0.0064233009621341,0.0790991931572342,19082,830,2,2023,332774
momentum_1y,0.2253812737208579,0.5445458131892967,0.030015721330769,0.0952538790373571,19082,830,2,2023,332774
momentum_5y,0.1882175050224922,0.3528309069243219,0.0246871423991155,0.0720008925707291,19082,830,2,2023,332774
catch_up_price,-0.0118382077467035,0.1928030158546856,-0.0053256456499417,0.033067127776455,19082,830,2,2023,332774
catch_up_neighbors,-0.0099022435676843,0.0537554002657717,-0.0050822452240421,0.0007231700209204,19082,830,2,2023,332774
gbm_national,-0.0742686436174002,-0.0605693950475604,-0.0111836448621249,0.0075044968412546,19398,831,2,2024,351810
gbm_recency,-0.0652789716232456,-0.0628053661466192,-0.0079192210506048,0.0043969200429832,19398,831,2,2024,351810
ridge_national,-0.1302985823323008,-0.1550306892663684,-0.0198469487217796,-0.0152085951994768,19398,831,2,2024,351810
gbm_nyc_only,-0.0248273180455262,0.0044018060578888,-0.0085915832043732,0.010463066894479,19398,831,2,2024,351810
momentum_1y,0.1354647425247837,0.1756895484198227,0.0163916439763408,0.0292450078142102,19398,831,2,2024,351810
momentum_5y,0.0897131759483367,-0.0067128323436927,0.0124339904301825,0.0119888579620112,19398,831,2,2024,351810
catch_up_price,-0.2346331499624257,-0.3273533874459236,-0.0362613164071018,-0.0394470963732122,19398,831,2,2024,351810
catch_up_neighbors,-0.2072005943453193,-0.2310754000923107,-0.0313339760448419,-0.0327695060556048,19398,831,2,2024,351810
