model,spearman_national,spearman_nyc,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
gbm_national,0.0234230216145551,-0.1953932927246965,0.0132307355090878,-0.0367381672447828,15134,797,2,2010,112248
gbm_recency,0.0462410603752958,-0.127164819105006,0.0169018262202963,-0.0182700397864584,15134,797,2,2010,112248
ridge_national,-0.1493601764552251,-0.4699607934863988,-0.0204067624660456,-0.0914515600109416,15134,797,2,2010,112248
gbm_nyc_only,-0.1046619643208646,-0.0273119401215471,-0.024291046083442,0.0068844564794275,15134,797,2,2010,112248
momentum_1y,0.065197401277539,-0.0493020011161129,0.0215403223830177,-0.0038383525090577,15134,797,2,2010,112248
momentum_5y,0.1792229099902808,0.4006214738027787,0.0389320573612891,0.0947012315334947,15134,797,2,2010,112248
catch_up_price,-0.2414354353403203,-0.4922331490283181,-0.0537926593760622,-0.1224353024320025,15134,797,2,2010,112248
catch_up_neighbors,-0.1581152850805158,-0.1968920460075303,-0.0359964455122038,-0.040544573357173,15134,797,2,2010,112248
gbm_national,0.1396874000615598,0.3514087834512241,0.024760228405826,0.0788171754519418,15292,800,2,2011,127150
gbm_recency,0.1445896439503015,0.414223467536668,0.0254958936873399,0.0860987787362142,15292,800,2,2011,127150
ridge_national,0.0998945900800652,0.1768241669127608,0.0136438270923426,0.0243860189448558,15292,800,2,2011,127150
gbm_nyc_only,0.075128651941177,0.3971296048900076,0.0135591297600277,0.0829033741841442,15292,800,2,2011,127150
momentum_1y,0.1360066433731689,0.4777979481467868,0.023204253474091,0.1058413783009928,15292,800,2,2011,127150
momentum_5y,0.0286727210983452,0.4243618417853844,0.0055917319807152,0.0972165989561814,15292,800,2,2011,127150
catch_up_price,-0.0623949030197218,-0.3749633202551879,-0.013864068446111,-0.083368582128021,15292,800,2,2011,127150
catch_up_neighbors,0.0043451598909662,-0.0963655411961581,-0.0017899529052099,-0.0139506798860671,15292,800,2,2011,127150
gbm_national,0.0821291547771455,0.3691805444252041,0.0100933047765166,0.0802595077762206,16184,806,2,2012,142284
gbm_recency,0.041857254518784,0.3473493580982227,0.0029093507443078,0.0765964056454762,16184,806,2,2012,142284
ridge_national,0.1469806118351712,0.3744825329573788,0.0232624869334428,0.0556237391862414,16184,806,2,2012,142284
gbm_nyc_only,0.1167343020248028,0.446999818432114,0.0194550003213275,0.0837826828450125,16184,806,2,2012,142284
momentum_1y,0.1196655580107559,0.5107088448575702,0.0199169739741088,0.0992482316823348,16184,806,2,2012,142284
momentum_5y,-0.157952774264266,0.4443371032622228,-0.0312633555027652,0.0926250339285766,16184,806,2,2012,142284
catch_up_price,0.0833637339320111,-0.3810004361869094,0.0201161614267955,-0.0751495249480403,16184,806,2,2012,142284
catch_up_neighbors,0.1406628240216702,-0.0684010400877713,0.0269182041348023,-0.0149173153087965,16184,806,2,2012,142284
gbm_national,0.1694553354498775,0.3190935070761848,0.0227237696048282,0.0820538171148527,16530,815,2,2013,157576
gbm_recency,0.1286562826639537,0.3076156657625441,0.0156596012040057,0.076403989436003,16530,815,2,2013,157576
ridge_national,0.275252336474542,0.3088827599293135,0.0390497520134219,0.0721946056295304,16530,815,2,2013,157576
gbm_nyc_only,0.1528507595856877,0.4244133696046363,0.0270686906739805,0.0940100640116504,16530,815,2,2013,157576
momentum_1y,0.2716126338178284,0.3716817466177466,0.0404041746803685,0.0778613271736411,16530,815,2,2013,157576
momentum_5y,-0.1551821592785142,0.3095506528300759,-0.0253362663596833,0.0732806264237176,16530,815,2,2013,157576
catch_up_price,0.2158816516579685,-0.2505045012533283,0.0364842966239339,-0.0637768378869577,16530,815,2,2013,157576
catch_up_neighbors,0.2485430974547599,0.0533079756374595,0.0400072563190094,-0.004201319748151,16530,815,2,2013,157576
gbm_national,0.1457152320803182,0.3238014340384054,0.0219290552519449,0.0724598741544533,16739,817,2,2014,173760
gbm_recency,0.1423483990124598,0.3504752402078583,0.0210611055260044,0.0789279395522824,16739,817,2,2014,173760
ridge_national,0.2634962495221766,0.3283621750585898,0.0360221116148833,0.0584467440186827,16739,817,2,2014,173760
gbm_nyc_only,0.095465431729497,0.4105336521611005,0.0197613225750196,0.0828316199691141,16739,817,2,2014,173760
momentum_1y,0.281407503423964,0.3628738150571424,0.0422641386159193,0.0781133718685432,16739,817,2,2014,173760
momentum_5y,0.0013665884887954,0.2433467734020591,-0.001443092116027,0.0515247496526647,16739,817,2,2014,173760
catch_up_price,0.3277500463477535,-0.0357731514675999,0.0512395689630091,-0.0085676943836301,16739,817,2,2014,173760
catch_up_neighbors,0.3249263245766649,0.1905076373080947,0.0487399613806377,0.0301129124123781,16739,817,2,2014,173760
gbm_national,0.4163158676377012,0.5675710621731238,0.0623026229879361,0.1120350998391593,16966,820,2,2015,190290
gbm_recency,0.4178253188628069,0.5625134597238812,0.0622896535918936,0.1110271956453274,16966,820,2,2015,190290
