model,spearman_national,spearman_nyc,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
gbm_national,0.0377979412229929,-0.0621496459761283,0.0114874122145193,-0.0024902419950082,15152,797,1,2010,127163
gbm_recency,0.0530016167655357,-0.0343439208096975,0.0136656300046416,0.0036481117115139,15152,797,1,2010,127163
ridge_national,-0.0510074841758659,-0.1998071128465224,-0.0068509257977267,-0.0365314672095795,15152,797,1,2010,127163
gbm_nyc_only,-0.0774352408962792,0.0324879366123359,-0.0092621075127281,0.0146459495250083,15152,797,1,2010,127163
momentum_1y,0.0675401530346161,-0.0239331169709488,0.0140584374811648,0.000476617163093,15152,797,1,2010,127163
momentum_5y,0.1948853209026163,0.3800564506479154,0.0267317188283817,0.0545915043674152,15152,797,1,2010,127163
catch_up_price,-0.2894311358951199,-0.5412464820304389,-0.0390527657129053,-0.0784818131771321,15152,797,1,2010,127163
catch_up_neighbors,-0.1999958849813336,-0.2245802744157292,-0.027266972618741,-0.0325739828627608,15152,797,1,2010,127163
gbm_national,0.1976642994609587,0.3886069665733853,0.0248747708909193,0.0560116003144294,15263,800,1,2011,142315
gbm_recency,0.1926867990618532,0.353408333450521,0.0244017769779316,0.0488768813807043,15263,800,1,2011,142315
ridge_national,0.1786142733219221,0.3584749429295983,0.0212156269212263,0.0475377015328908,15263,800,1,2011,142315
gbm_nyc_only,0.0767818407573782,0.4314033693802646,0.0085793103068763,0.0600095474062113,15263,800,1,2011,142315
momentum_1y,0.2055223616070509,0.4490402550957256,0.0243372871295171,0.0614166928761359,15263,800,1,2011,142315
momentum_5y,0.1573100760181033,0.4177718070259172,0.0214383669222122,0.0577785909846225,15263,800,1,2011,142315
catch_up_price,-0.1001719580880734,-0.3404936648338513,-0.0162333015858894,-0.0480516048514428,15263,800,1,2011,142315
catch_up_neighbors,-0.0476149182241913,-0.1085230836298181,-0.0093287897544355,-0.0095631007597924,15263,800,1,2011,142315
gbm_national,0.1577357231959846,0.4365295220845621,0.0142392741184241,0.0456099002703029,16182,806,1,2012,157578
gbm_recency,0.1321705974699935,0.4199543049379074,0.0117136024716047,0.0458658180687784,16182,806,1,2012,157578
ridge_national,0.1896295370677862,0.4650523071926952,0.0195517466991137,0.0470061196866958,16182,806,1,2012,157578
gbm_nyc_only,0.1346451807233635,0.4229070147254478,0.0143354670071724,0.0457951833242558,16182,806,1,2012,157578
momentum_1y,0.1871395827900042,0.4700876329494265,0.0204390617623877,0.0506721155915998,16182,806,1,2012,157578
momentum_5y,-0.0465920466645323,0.4103653998114929,-0.0069895608122209,0.0490466656819581,16182,806,1,2012,157578
catch_up_price,-0.0307163307589497,-0.3417910087743296,0.0007482343778548,-0.0375502063588304,16182,806,1,2012,157578
catch_up_neighbors,0.0363317267028344,-0.0724845012701444,0.0057089449278014,-0.0093166770593304,16182,806,1,2012,157578
gbm_national,0.2370206145471935,0.3561685081623731,0.021766449240851,0.0512895729263919,16530,815,1,2013,173760
gbm_recency,0.2144518301513836,0.3775764388449339,0.0195907897659872,0.050582973204772,16530,815,1,2013,173760
ridge_national,0.2634077911553708,0.3641265671038316,0.0249986515373618,0.0482448988589863,16530,815,1,2013,173760
gbm_nyc_only,0.1984749488216285,0.4126059255344712,0.0203615093407949,0.0524452845071076,16530,815,1,2013,173760
momentum_1y,0.2708814197356419,0.3617553861749548,0.0263012981292013,0.0457034261945493,16530,815,1,2013,173760
momentum_5y,-0.1320978258346352,0.3394337026945547,-0.0135737694334065,0.0468340979575283,16530,815,1,2013,173760
catch_up_price,0.1652602734637645,-0.2891884576745637,0.0172978434116269,-0.0409621225159666,16530,815,1,2013,173760
catch_up_neighbors,0.1954436997816866,-0.020542061204277,0.0199139833757634,-0.0080625357587117,16530,815,1,2013,173760
