origin_year,n,log_price_rel_metro,log_price_rel_metro_nyc,nbr_log_price_gap,nbr_log_price_gap_nyc,price_to_income,price_to_income_nyc,rent_yield,rent_yield_nyc,log_income,log_income_nyc,bachelors_share,bachelors_share_nyc,mom_1y,mom_1y_nyc,mom_5y,mom_5y_nyc,unemployment_rate,unemployment_rate_nyc
2000,11216,-0.1865222641632398,-0.4044203935848128,-0.13150085597683564,-0.330892490263575,,,,,,,,,,,,,,
2001,11550,-0.24636299195520284,-0.5115065362288509,-0.15954127648390026,-0.38915601049289106,,,,,,,,,0.06431817674513512,0.2067090511308293,,,,
2002,11978,-0.2662164376666236,-0.5499901127150485,-0.1775257582179695,-0.38025391156984956,,,,,,,,,0.06495009933285882,0.1907906519279981,,,,
2003,12229,-0.1516179270550595,-0.3696889013917087,-0.11180070153716974,-0.28018047146891967,,,,,,,,,0.019682594572497023,0.1343440186974071,,,,
2004,12570,0.06699395952087567,0.024109109933662536,0.034248684236159434,-0.05682668160632462,,,,,,,,,-0.07474138024907304,-0.18037340304217564,,,,
2005,12885,0.16696243219407714,0.23457788566990387,0.09645643929766312,0.08768856263791479,,,,,,,,,-0.138219053761777,0.15216541694261798,-0.18254777864882507,-0.10269639854983152,,
2006,13038,0.2794056232517596,0.5051741793620254,0.16811960108948096,0.17451254387105158,,,,,,,,,-0.14337268305815712,-0.06531394492053764,-0.20910289842144328,-0.21234345086689618,,
2007,13238,0.3122038610004136,0.5653320964451742,0.19124143450479378,0.18597787929153903,,,,,,,,,-0.05430363945231799,-0.23892105244879105,-0.20862143597840838,-0.2902995453879687,,
2008,13573,0.3319063880615981,0.5509420948947148,0.19571375433241628,0.20916140824256532,,,,,,,,,0.2292125336721196,0.4022749951760476,-0.039612939210249845,-0.13327828255768223,,
2009,14915,0.16111032283566992,0.500269154298754,0.0547768879138732,0.15813679319635032,,,,,,,,,0.0946094339929081,0.24397092108171356,0.01610310079390029,0.33778679155191793,,
2010,15165,0.0325902527096857,0.4528523932100954,-0.055233737927744005,0.11440631142239628,,,,,,,,,-0.03484414735794476,-0.06731182010285798,-0.02173457409988697,0.3894696597371771,,
