feature,importance_mean,importance_std,test_year,horizon
cs_owner_share,0.0013528805520865,4.150545604770229e-05,2021,5
cs_mom_5y,0.0009527889638143,7.505614877935631e-06,2021,5
cs_mom_3y,0.0005290065976439,5.578092380958114e-05,2021,5
rg_natl_mom_1y,0.0,0.0,2021,5
rg_rate_level,0.0,0.0,2021,5
rg_rate_change_1y,0.0,0.0,2021,5
rg_cheap_sign_3y,0.0,0.0,2021,5
rg_cheap_sign_1y,0.0,0.0,2021,5
rg_price_to_rent_dev,0.0,0.0,2021,5
rg_mom_sign_1y,0.0,0.0,2021,5
cs_log_price_rel_metro,0.0,0.0,2021,5
rg_mom_sign_3y,0.0,0.0,2021,5
cs_mom_1y_rel_county,-2.63761808578696e-05,1.4854670569176493e-05,2021,5
rg_metro_cheap_sign_1y,-3.1324979115098427e-05,5.2685471702940455e-05,2021,5
cs_rent_yield,-9.324001365147716e-05,7.668181508025766e-06,2021,5
cs_young_adult_share,-0.0001667501040276,1.1598735472635598e-05,2021,5
cs_log_pop,-0.0001679477047288,8.153294220249026e-06,2021,5
cs_inflow_share,-0.0001727209398632,1.5147488619281843e-05,2021,5
rg_metro_mom_sign_1y,-0.0001837412184841,1.2593372610071254e-05,2021,5
cs_log_housing_units,-0.0001964615022249,2.8814989161323067e-05,2021,5
cs_price_to_income,-0.00027839012338,3.229570156187937e-05,2021,5
cs_nbr_mom_5y_gap,-0.0003106943753903,2.67649774435154e-05,2021,5
cs_nbr_dist_km,-0.0003499002134382,4.446091053904259e-05,2021,5
cs_county_log_price_rel_metro,-0.0004228929195286,0.000110091159026,2021,5
cs_transit_share,-0.000467562095685,2.625342100123285e-05,2021,5
cs_mom_1y,-0.0004993987125736,1.969549385054722e-05,2021,5
cs_median_age,-0.0005878052013366,5.143857558754555e-06,2021,5
cs_vacancy_share,-0.0006910333505704,3.424294500666719e-05,2021,5
cs_median_year_built,-0.0010608160071229,2.653693580409764e-05,2021,5
cs_unemployment_rate,-0.001384916250587,2.1859052498179424e-05,2021,5
cs_log_acs_rent,-0.0018160297213746,1.3185616355111883e-05,2021,5
cs_beta_10y,-0.0024613323960395,6.502168197433006e-05,2021,5
cs_log_price_rel_county,-0.0025558756940679,7.623914965597481e-05,2021,5
cs_nbr_log_price_gap,-0.0030007782372314,4.488894081673845e-05,2021,5
cs_log_income,-0.0032237658091174,2.2437396842131583e-05,2021,5
cs_acs_rent_to_price,-0.0081684290762315,8.087943681947894e-05,2021,5
cs_bachelors_share,-0.0096298196345038,0.0002087123331632,2021,5
cs_log_zhvi,-0.0114449314154187,2.787244032095598e-05,2021,5
