horizon,model,spearman_national_mean,spearman_nyc_mean,q5_q1_spread_national_mean,q5_q1_spread_nyc_mean,spearman_national_min,spearman_nyc_min,q5_q1_spread_national_min,q5_q1_spread_nyc_min,n_folds,best_baseline,share_folds_gbm_beats_best_baseline
1,catch_up_neighbors,0.11067988775197667,0.06943278119913937,0.008884454661774519,0.006843343458972624,-0.1999958849813336,-0.3222596412221723,-0.027266972618741,-0.0325739828627608,16,,
1,catch_up_price,0.125895230164936,0.058432164446235606,0.010090551596440043,0.009822464142480758,-0.2894311358951199,-0.5412464820304389,-0.0390527657129053,-0.0784818131771321,16,,
1,gbm_national,0.24289768554248814,0.410849547819634,0.022368995312042013,0.05440908743454066,-0.0298941193069725,-0.0621496459761283,-0.0016910532133987,-0.0024902419950082,16,momentum_1y,0.5
1,gbm_nyc_only,0.16996877248250972,0.39755915244262785,0.015429318822928475,0.05242938721428198,-0.0774352408962792,-0.0501970043461822,-0.0092621075127281,-0.0023639097691634,16,,
1,gbm_recency,0.24442165972168034,0.41849588173207286,0.022701759498167592,0.0547879686408653,-0.027848731325134,-0.0343439208096975,-0.000365948231681,0.0036481117115139,16,,
1,momentum_1y,0.22544721513464233,0.3895679555677027,0.021463726155948413,0.050261176251762345,0.0338552915596834,-0.0239331169709488,0.0078401581166759,0.000476617163093,16,,
1,momentum_5y,0.13403268021721892,0.26823997582155834,0.012588020098845808,0.037395340530696056,-0.1320978258346352,-0.0411294556923029,-0.0135737694334065,0.0009211656842852,16,,
1,ridge_national,0.2257220473575987,0.37395683540463676,0.020100784182000855,0.04578259474146684,-0.0510074841758659,-0.1998071128465224,-0.0068509257977267,-0.0365314672095795,16,,
2,catch_up_neighbors,0.16188101419170825,0.10932400116964607,0.02267219879577823,0.02089306378225796,-0.2072005943453193,-0.2310754000923107,-0.0359964455122038,-0.040544573357173,15,,
2,catch_up_price,0.18761451252321665,0.12621097770582107,0.026725442572921088,0.032256810830897674,-0.2414354353403203,-0.4922331490283181,-0.0537926593760622,-0.1224353024320025,15,,
2,gbm_national,0.21559852154326173,0.38233681232520156,0.03286901342118411,0.09179736157279957,-0.0742686436174002,-0.1953932927246965,-0.0111836448621249,-0.0367381672447828,15,momentum_1y,0.4
2,gbm_nyc_only,0.14098170106470634,0.3488655221912663,0.020949887575077666,0.07880979094291644,-0.1046619643208646,-0.0273119401215471,-0.024291046083442,0.0068844564794275,15,,
2,gbm_recency,0.21375618679989952,0.39287189237437786,0.03264443934724801,0.0932277161573341,-0.0652789716232456,-0.127164819105006,-0.0079192210506048,-0.0182700397864584,15,,
2,momentum_1y,0.20750879988098542,0.40075038994462747,0.03246141625440067,0.0881487198714996,0.0445774456173725,-0.0493020011161129,0.009821042933091,-0.0038383525090577,15,,
2,momentum_5y,0.09934485043052203,0.22652208202110813,0.014506201401974153,0.05455752161262563,-0.157952774264266,-0.0845506038281059,-0.0312633555027652,-0.009679103189096,15,,
2,ridge_national,0.21022326352845078,0.32467023682714075,0.03039192973131084,0.06941320420757632,-0.1493601764552251,-0.4699607934863988,-0.0204067624660456,-0.0914515600109416,15,,
3,catch_up_neighbors,0.2084271115237044,0.14290468365002848,0.04043932933279337,0.0388595505937776,-0.0960299791752236,-0.1702353334203398,-0.0283206574698367,-0.0442185963122117,14,,
3,catch_up_price,0.2456082426168467,0.18772875015594725,0.04864339966271845,0.06324329081595646,-0.1869763283155275,-0.4825630496801514,-0.0512447976994373,-0.1555263154057042,14,,
3,gbm_national,0.16133402701902438,0.2759772465746494,0.032079191632654186,0.09157126890456921,-0.0303415843222998,-0.1515671915297661,-0.0054733483629928,-0.0254397475445484,14,momentum_1y,0.2857142857142857
3,gbm_nyc_only,0.08500925786047386,0.23364305286997217,0.017969504072598477,0.06816700914240871,-0.0339706701391777,-0.094499443202084,-0.0186931900336273,-0.0405963996529819,14,,
3,gbm_recency,0.16027421480050114,0.2956934360458206,0.03167842793810716,0.09829973704768281,-0.0369896111512135,-0.1045065754807755,-0.007362964937788,-0.0064158833676834,14,,
3,momentum_1y,0.20382269036380735,0.3601789807020214,0.042634812012039176,0.11452762148355476,0.0473388902965065,-0.0452707894482949,0.0109789777951407,-0.0025859899555191,14,,
3,momentum_5y,0.05321715265629101,0.16150250065769092,0.008736456056608657,0.053528156493064125,-0.2182281259036934,-0.1425944119376093,-0.0486910009058514,-0.0617979215325962,14,,
3,ridge_national,0.19166705678526919,0.15286536385375285,0.036802617112389684,0.04734764877052763,-0.1268258842570135,-0.530240209642471,-0.0342284250190753,-0.1557154899300533,14,,
