model,spearman_national,spearman_nyc,spearman_nyc_within_county,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
gbm_national,0.0972316102644921,0.0458683688344838,0.2664130335142486,0.0325417707750702,0.0179721505447039,15163,797,3,2010,98688
gbm_recency,0.1247862970667487,0.1775921901561657,0.3303074696341242,0.0383056526542287,0.062936783959779,15163,797,3,2010,98688
ridge_national,-0.1101776423973004,-0.5286642787431749,-0.272509603668901,-0.0280106783786686,-0.1571182102060878,15163,797,3,2010,98688
gbm_county_target,0.1520918385839806,0.0799675067064646,0.2968899952406961,0.0418660412407942,0.0250925307277553,15163,797,3,2010,98688
gbm_nyc_only,-0.1127212435120753,-0.1261669381236045,-0.3248773534006917,-0.0336763811895417,-0.0358282099424554,15163,797,3,2010,98688
momentum_1y,0.0473388902965065,-0.0452707894482949,0.1942214040569815,0.018587001274202,-0.0025859899555191,15163,797,3,2010,98688
momentum_5y,0.0701216940395963,0.3797596946047575,0.2488087472663139,0.0222018681409792,0.1196187070053206,15163,797,3,2010,98688
catch_up_price,-0.1869763283155275,-0.4825630496801514,-0.4412951508634211,-0.0512447976994373,-0.1555263154057042,15163,797,3,2010,98688
catch_up_neighbors,-0.0960299791752236,-0.1702353334203398,-0.2486676076867898,-0.0283206574698367,-0.0442185963122117,15163,797,3,2010,98688
beta_x_metro_trend,-0.0061154459804972,0.3146652424237885,0.379863365413563,0.0066081161547958,0.0866101091069947,15163,797,3,2010,98688
gbm_national,0.0524949992616561,0.4164683616693151,0.275715963763385,0.0108244889537556,0.1054611904413069,15294,800,3,2011,112250
gbm_recency,0.0470752233493596,0.4121399877187309,0.3136910817343397,0.0078438416868135,0.1104656954197345,15294,800,3,2011,112250
ridge_national,0.0491266113517627,-0.1360005484383569,-0.0485008264850245,0.0073467882184337,-0.0612317244709836,15294,800,3,2011,112250
gbm_county_target,0.0074636921326061,0.2140617485339821,0.3141030973895325,0.0042661985908508,0.0505769461097889,15294,800,3,2011,112250
gbm_nyc_only,0.0709265494285531,0.3658006965635884,0.0627520797187305,0.0164293244576387,0.0969702499836428,15294,800,3,2011,112250
momentum_1y,0.0597065321787141,0.4625183919048077,0.2668316103723659,0.0109789777951407,0.144448910463378,15294,800,3,2011,112250
momentum_5y,-0.084064532654969,0.4203571602219922,0.2708330945439404,-0.0196463191831249,0.1376961267754114,15294,800,3,2011,112250
catch_up_price,0.0275903823860967,-0.3852720394875617,-0.3163222033671063,0.0050926232837657,-0.1200739368127868,15294,800,3,2011,112250
catch_up_neighbors,0.0910015163865425,-0.0809271655111961,-0.1390084896697697,0.0189714586860837,-0.0125465256141842,15294,800,3,2011,112250
beta_x_metro_trend,-0.0286192698455295,0.3174565337150158,0.3050651329333594,-0.0039948365969983,0.089900668103945,15294,800,3,2011,112250
gbm_national,-0.02808964617548,0.4522987359517649,0.3092019394199506,-0.0099529474423965,0.1232320684802363,16184,806,3,2012,127138
gbm_recency,-0.0257148095460804,0.4478867451833661,0.2660138853819571,-0.013997396681663,0.1321496083495194,16184,806,3,2012,127138
ridge_national,0.0110514039820754,0.0172667106195784,0.2319359143622487,-0.0001497948853473,-0.0181612177378318,16184,806,3,2012,127138
gbm_county_target,-0.0791473283296807,0.1233287346448657,0.2840620361331143,-0.0230599344887022,0.0273913075845079,16184,806,3,2012,127138
gbm_nyc_only,0.0989639081063829,0.5019154581191527,0.3096779767952968,0.0245104443387604,0.1372168253326243,16184,806,3,2012,127138
momentum_1y,0.0940242565725683,0.4799019842218504,0.3318913497222521,0.0191372900532288,0.1327309822081322,16184,806,3,2012,127138
momentum_5y,-0.1927750118896395,0.416211651055147,0.2557289719583364,-0.0470937628140096,0.1171418045340313,16184,806,3,2012,127138
catch_up_price,0.1464099311887215,-0.3440534512021553,-0.1874082578552234,0.0399816392855536,-0.0973756149864993,16184,806,3,2012,127138
catch_up_neighbors,0.1993245297332255,-0.0091874037837739,-0.0429052507811147,0.0470129235032045,-0.0102045878010287,16184,806,3,2012,127138
beta_x_metro_trend,-0.0061669653043823,0.1925855318059542,0.2458211245752818,0.002494258055807,0.0390779222281184,16184,806,3,2012,127138
gbm_national,0.0374035068708439,0.2315785553605835,-0.0461829311208839,0.0112751165424483,0.0826081303105399,16529,815,3,2013,142301
gbm_recency,0.0207774037731643,0.3050589556453865,-0.0121768282092716,0.0041172520259529,0.1029844036981995,16529,815,3,2013,142301
ridge_national,0.0244101891059632,-0.2219171978645092,-0.1107922234509766,0.0003900035778068,-0.0585254525082878,16529,815,3,2013,142301
gbm_county_target,-0.0175703673548192,0.0476786824224572,-0.0243950663474398,-0.0030043062479065,0.0227922264852281,16529,815,3,2013,142301
gbm_nyc_only,-0.0181120224192868,0.3780000744814891,0.1045205913060051,0.0074145975176369,0.1157444700134546,16529,815,3,2013,142301
momentum_1y,0.2552171192844646,0.2923819008043474,0.0621638707878929,0.0526477291461942,0.0918638079023955,16529,815,3,2013,142301
momentum_5y,-0.2182281259036934,0.1927878132017903,-0.0620202709453255,-0.0486910009058514,0.0750873652168063,16529,815,3,2013,142301
catch_up_price,0.325408302171139,-0.1077791260306597,0.1989094078394352,0.0707156510570729,-0.043565422485568,16529,815,3,2013,142301
catch_up_neighbors,0.3351327875246977,0.1493984289725899,0.2260839550181944,0.0702692068097984,0.0229701026756919,16529,815,3,2013,142301
beta_x_metro_trend,0.045166029485846,0.1680216733450322,0.1180683722911824,0.0169275815482005,0.0358651488860561,16529,815,3,2013,142301
gbm_national,0.0259607671140169,0.0926831289506163,-0.117926051139658,0.0094137623118693,0.0466053778540466,16740,817,3,2014,157595
gbm_recency,0.0565080726260978,0.0847233857825959,-0.094586268893018,0.013545011321645,0.0401099321306896,16740,817,3,2014,157595
ridge_national,-0.0280770098115674,-0.3522001897334454,-0.1732922516207955,-0.002788866815442,-0.089729800330674,16740,817,3,2014,157595
gbm_county_target,-0.026885389847562,-0.0729121135246076,-0.158389746834083,-0.0023395269472585,-0.0161524490919233,16740,817,3,2014,157595
gbm_nyc_only,-0.0357843132050892,0.2883882136766867,-0.0037064753978459,0.0018645854154653,0.0763453739907003,16740,817,3,2014,157595
momentum_1y,0.2755503469110318,0.2828658659315461,0.0649149467415919,0.0568380888347296,0.0839798912994267,16740,817,3,2014,157595
momentum_5y,-0.036047152088923,0.1782241145834758,-0.2387984351425968,-0.0114246817541829,0.0521569478188074,16740,817,3,2014,157595
catch_up_price,0.3765033097541743,0.0581687131344025,0.4432846243627,0.0787880451625242,0.0158387757806222,16740,817,3,2014,157595
catch_up_neighbors,0.3584917310651128,0.2657701623472586,0.379337705093025,0.0725217882979012,0.0578905341031207,16740,817,3,2014,157595
beta_x_metro_trend,0.076730528804966,0.4181595480359066,0.3245081914572417,0.0296759298139023,0.1037725851065981,16740,817,3,2014,157595
gbm_national,0.0779622273147121,0.1903340274986987,0.0737430004235477,0.0196433566278949,0.0540113852666232,16962,820,3,2015,173779
gbm_recency,0.0850431420631482,0.1380430151827317,0.0792851686413921,0.0224462911685811,0.0461914923926953,16962,820,3,2015,173779
ridge_national,0.0934980861542279,0.0426597099957962,0.0612324403247633,0.0239184462118104,0.0175917961700476,16962,820,3,2015,173779
gbm_county_target,0.0363409433125301,0.1423956790464024,0.1026054774606153,0.0106214509433786,0.056579581978382,16962,820,3,2015,173779
gbm_nyc_only,-0.0296090060600335,0.1376708276325043,-0.0872489127082182,0.0066244307342953,0.0523847712722016,16962,820,3,2015,173779
momentum_1y,0.3103311097995904,0.3279478262951402,0.1902290076558361,0.0638982387520746,0.0873389071362789,16962,820,3,2015,173779
momentum_5y,0.0281068448465586,0.07718162230289,-0.3099388371419454,0.0028962916802229,0.0317452230466021,16962,820,3,2015,173779
catch_up_price,0.4951124025749244,0.3227804962928696,0.6485595796588224,0.104050356483056,0.083190861912657,16962,820,3,2015,173779
catch_up_neighbors,0.4442911536482149,0.3851201316226064,0.5070983125559317,0.0916720715595886,0.1031463297999263,16962,820,3,2015,173779
beta_x_metro_trend,0.1251950993691407,0.3801111568590805,0.3606799659701282,0.0331007597109642,0.1113494811136767,16962,820,3,2015,173779
gbm_national,0.440680036278936,0.5598869226421751,0.5309625547391832,0.0871490326723836,0.1195083498967981,17549,824,3,2016,190308
gbm_recency,0.467967512212007,0.5827878330307285,0.5657471829006032,0.0908321406669439,0.1290680909424644,17549,824,3,2016,190308
ridge_national,0.5101543565817195,0.7650139684425803,0.660277693539369,0.1001742438630822,0.186664721868826,17549,824,3,2016,190308
gbm_county_target,0.3894973955905513,0.5436541445790108,0.4729346592969711,0.0798617854722302,0.1509309321687859,17549,824,3,2016,190308
gbm_nyc_only,0.096011320262947,0.2599995066807227,0.2110585080713604,0.0262423668756451,0.0534071817928202,17549,824,3,2016,190308
