origin_year,n,log_price_rel_metro,log_price_rel_metro_nyc,nbr_log_price_gap,nbr_log_price_gap_nyc,price_to_income,price_to_income_nyc,rent_yield,rent_yield_nyc,log_income,log_income_nyc,bachelors_share,bachelors_share_nyc,mom_1y,mom_1y_nyc,mom_5y,mom_5y_nyc,unemployment_rate,unemployment_rate_nyc
2000,11228,-0.0009427425893172,0.1327240607046975,-0.0403826748397006,0.0082184452969646,,,,,,,,,,,,,,
2001,11546,-0.090031232011357,-0.144323528241054,-0.0757091699911997,-0.1413481028180064,,,,,,,,,0.1239722716471585,0.2036424888887163,,,,
2002,11959,-0.1005453609707477,-0.3190352414597074,-0.067184303781189,-0.2306834933454608,,,,,,,,,0.2006887900418859,0.3854430192694171,,,,
2003,12241,-0.1280513933826976,-0.4151712294120014,-0.0815562481483382,-0.3008102719207686,,,,,,,,,0.1328889753424051,0.3313731807508263,,,,
2004,12558,-0.1480185151223034,-0.2570518933960298,-0.0898253379223434,-0.2357458985536641,,,,,,,,,0.1584740348440091,0.036609243966073,,,,
2005,12881,-0.1564608358834326,-0.2678756401468367,-0.1085353004327638,-0.1505922618013631,,,,,,,,,0.1647140912696195,0.4774717133535209,0.0193075455790283,0.112886112860686,,
2006,13045,-0.1394196879174759,-0.2796685893689415,-0.1010730349320765,-0.1389261378689658,,,,,,,,,0.1300626375192377,0.3276022981203531,-0.0157951800147025,0.2599149474906043,,
2007,13226,0.0888119561328521,0.3414110923776923,0.0344791007106367,0.0243456842107543,,,,,,,,,0.1009314323762487,-0.0807807087438466,-0.0925516985515742,-0.0802980045453587,,
2008,13570,0.2634967649516184,0.3533565230989159,0.1719397954503858,0.2137065340220478,,,,,,,,,0.2943034557768674,0.1208382485785773,-0.0166389444649488,-0.3783855190291749,,
2009,14909,0.1484512057859502,0.0863935215482254,0.1036611926708086,0.1263318557704124,,,,,,,,,0.1296863324995806,0.108158011362716,-0.00226569559964,-0.2134992027979874,,
2010,15152,0.2690741560015324,0.5412464820304389,0.1803361702923893,0.2245802744157292,,,,,,,,,0.0406770854306861,-0.0239331169709488,0.17928311586241,0.3800564506479154,,
2011,15263,0.0848571101514485,0.3404936648338513,0.0402699309487216,0.1085230836298181,,,,,,,,,0.1823349038412646,0.4490402550957256,0.1399004080664532,0.4177718070259172,,
2012,16182,0.0403951223538848,0.3417910087743296,-0.0333886632408322,0.0724845012701444,,,,,,,,,0.1811572331874596,0.4700876329494265,-0.0181058918031468,0.4103653998114929,,
2013,16530,-0.1494807389797303,0.2891884576745637,-0.1846303833613864,0.020542061204277,-0.0846632446104748,0.360334525670817,,,-0.1256506018717346,-0.0624831328941247,-0.1028096904269812,0.1910551616105292,0.2442281388224911,0.3617553861749548,-0.0961949545686671,0.3394337026945547,0.1281026316528324,0.0666726000834407
2014,16740,-0.1677496089663152,0.1941303173731089,-0.198641160403727,-0.0967759617336264,-0.0344064442120097,0.4432271732010193,,,-0.2016812140578584,-0.2963387699877169,-0.215932679743332,-0.1013814834266602,0.2409750802385729,0.4105839969427122,0.0620184789975338,0.3367200577590254,0.1527453381593373,0.1121775342037043
2015,16965,-0.3225772010875543,-0.0820833623067662,-0.3115674528566854,-0.2352751250181031,-0.1216917652791016,0.3770149970453424,0.3754463086541721,0.4033613445378151,-0.3039567687787998,-0.5639126321533363,-0.2899189767175475,-0.3990736120538936,0.2935635387678393,0.4445796096222917,0.092075069606462,0.2322829134208888,0.239728392631501,0.3263598357090304
2016,17549,-0.2663985407689745,-0.1737710290747367,-0.2485410442247713,-0.2981918314202625,-0.0990545170845794,0.2370650077335643,0.4626250851901366,0.6173093457842209,-0.2454495901232873,-0.5260717899734165,-0.2099399512913946,-0.4966212803296989,0.326032695212223,0.5835525574808423,0.195062008691122,0.2301267736355838,0.2126823124712976,0.3733396840853071
2017,17752,-0.4573984915501691,-0.3892941877934474,-0.3978791897498009,-0.3869822051157208,-0.1782139341292004,0.0638659868515148,0.3896919498695401,0.6347463398025197,-0.4089181515395195,-0.5778759760471627,-0.360554307101729,-0.5510678311423066,0.336013504549409,0.5702512389284675,0.2583810045996529,0.2874826045188459,0.32497457734945,0.4185225976957962
2018,17963,-0.4439827189243944,-0.5462864616784237,-0.3260536991387265,-0.3350323232798139,-0.2080500081687367,-0.1683418338606523,0.4386258636257344,0.5135746606334842,-0.3326198551974806,-0.4652236267762867,-0.3770022090545756,-0.6541279562962017,0.2616471182255652,0.3237349469684504,0.2226513125228331,0.1499058562844199,0.2662710722652252,0.3652564390711901
2019,18397,-0.4242469288086139,-0.7007998427864709,-0.30646567161594,-0.3953073092747234,-0.1575641081850342,-0.2596531311374161,0.3585738668726321,0.5551099579313298,-0.3246253013243086,-0.4453358606258106,-0.4061720924437752,-0.6400344269251872,0.3160432533542798,0.6125936949120603,0.3380106160085652,0.4049093132927308,0.2288877505579451,0.3322642131997194
2020,18475,-0.2998744556759037,-0.4659200498432604,-0.165863830960071,-0.0618163189450501,-0.2326083701443823,-0.5072230188767956,0.2573965812449705,0.5008048607275309,-0.1635367476566288,0.0623939719479312,-0.2609463208298684,-0.0930500162112144,0.1571468289595126,0.213248146516943,0.1695900498412906,-0.0411294556923029,0.1299091817356561,-0.0627099984315353
2021,18643,0.1522273986761642,-0.0593152702065407,0.1296846643108099,0.1261473282857304,-0.0628241836153516,-0.1835480596415268,0.0939779559768262,0.01855620064592,0.2057194750400772,0.136254301821785,0.1603210030634649,0.0726897619083686,0.2433643535696493,0.6584318076838744,0.023495291345438,0.2684903679411105,-0.0915083468610879,-0.0708437096085632
