feature,importance_mean,importance_std,test_year,horizon
cs_mom_1y,0.0016822332022312,0.0001735960797195,2024,2
cs_rent_yield,0.0016146190350913,3.0876316102319166e-05,2024,2
cs_log_price_rel_county,0.0009507081942883,1.0772885813467704e-05,2024,2
cs_mom_1y_rel_county,0.0007156713805385,7.625465908417483e-06,2024,2
cs_inventory_yoy,0.0005128266342272,0.0001634441846039,2024,2
rg_metro_mom_sign_1y,0.0004495863894938,5.342252507940361e-05,2024,2
cs_inv_to_new_listings,0.0003818467124838,4.369426372799516e-05,2024,2
cs_price_cut_share,0.0003752877770968,8.698717562215538e-05,2024,2
cs_vacancy_share,0.0002930652533883,1.2755691292659173e-05,2024,2
cs_rent_mom_3y,0.0002341352553773,3.914668955015262e-05,2024,2
cs_nbr_mom_5y_gap,0.000178300675591,4.232707722543832e-05,2024,2
cs_mom_3y,0.000107052540605,4.430977357297767e-05,2024,2
cs_owner_share,0.0001043680347194,7.555241968594661e-06,2024,2
cs_price_cut_share_yoy,9.300740831681698e-05,3.5656668506939034e-05,2024,2
cs_d5_log_income,7.809409811457742e-05,2.9468668392193318e-06,2024,2
cs_transit_share,4.954581329570199e-05,9.110876751174114e-06,2024,2
cs_days_pending,3.499665963201115e-05,9.248171594236478e-07,2024,2
rg_metro_cheap_sign_1y,2.844984752063221e-05,0.0001062797128465,2024,2
cs_d5_owner_share,1.6810306923816427e-05,3.482461841905676e-06,2024,2
cs_mom_5y,7.73543377094917e-06,8.590560575216484e-06,2024,2
cs_inflow_share,6.9118155028950285e-06,4.186930207835046e-06,2024,2
cs_d5_young_adult_share,4.725125577337286e-06,5.704086319414153e-06,2024,2
cs_new_listings_yoy,3.92411775405425e-06,8.225667493255332e-06,2024,2
cs_d5_bachelors_share,3.1524776386663658e-06,4.70000059136252e-06,2024,2
cs_days_pending_yoy,1.610011312001373e-06,1.8470336420819603e-06,2024,2
cs_county_log_price_rel_metro,6.678440851171086e-07,2.4759806195779207e-05,2024,2
rg_natl_mom_1y,0.0,0.0,2024,2
rg_rate_change_1y,0.0,0.0,2024,2
rg_mom_sign_3y,0.0,0.0,2024,2
rg_cheap_sign_3y,0.0,0.0,2024,2
rg_mom_sign_1y,0.0,0.0,2024,2
rg_price_to_rent_dev,0.0,0.0,2024,2
rg_rate_level,0.0,0.0,2024,2
cs_log_price_rel_metro,0.0,0.0,2024,2
rg_cheap_sign_1y,0.0,0.0,2024,2
cs_d5_inflow_share,-2.398147239041082e-06,2.108408674486936e-06,2024,2
cs_young_adult_share,-3.031771166376225e-05,1.4563772225372128e-05,2024,2
cs_d5_log_housing_units,-3.9886207160361176e-05,8.531902028943024e-06,2024,2
cs_d5_log_pop,-4.4161312400999485e-05,6.373436321585935e-06,2024,2
cs_nbr_dist_km,-5.276589783496932e-05,5.659465519152144e-05,2024,2
cs_log_pop,-0.0001855929724024,1.6730525763709625e-05,2024,2
cs_log_acs_rent,-0.0002046814720399,2.178308422205557e-05,2024,2
cs_unemployment_rate,-0.0002081820779438,1.3289741804573772e-05,2024,2
cs_beta_10y,-0.0002137980726129,1.707586939022554e-05,2024,2
cs_log_housing_units,-0.0002179355846111,2.514255284772706e-05,2024,2
cs_inv_per_1k_units,-0.0003096572692646,3.1081424728598045e-05,2024,2
cs_median_year_built,-0.0003188257598697,4.1356419151653546e-05,2024,2
cs_log_income,-0.0005036945395769,1.074150289586333e-05,2024,2
cs_price_to_income,-0.0006538888518882,0.0001128230948758,2024,2
cs_median_age,-0.0006792725854805,1.83245951987668e-05,2024,2
cs_bachelors_share,-0.002210818807327,8.534342323366348e-06,2024,2
cs_nbr_log_price_gap,-0.0023081764249782,7.008471275836471e-05,2024,2
cs_acs_rent_to_price,-0.0045604066994451,0.0001016498070082,2024,2
cs_log_zhvi,-0.0059747662321009,0.0001469138354549,2024,2
