rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,zillow_1y_forecast_pct,origin
1,93.93940232435736,100.0,32.17425015567219,95.7374867484144,92.1413179003003,10462,New York,Bronx County,NY,254850.0,-0.1286883100916217,-1.0702010921268954,-0.8054872547264615,0.1197666642530499,-0.4592605594442756,-0.2265263085710558,-0.1149888698609782,-0.0021317065251921,2.0,2026-07-31
2,88.18462014640905,99.87966305655836,21.55787614696025,88.84456848343312,87.52467180938497,10468,New York,Bronx County,NY,261109.0,-0.4162622781422304,-1.0459387614460471,-0.6102546523762751,0.0983886269774382,-0.1583757258529765,-0.3257028574029003,-0.029907301600188,0.0393654921208795,1.3,2026-07-31
3,84.8320046622818,99.75932611311671,14.982031659949405,90.20339731424532,79.46061201031829,18425,Greeley,Pike County,PA,301018.0,-0.0184004029115754,-0.9037052889609108,-0.0840690251228757,,-0.4462966329074043,-0.3394507323049479,0.0383956282630233,-0.4693208885736976,1.5,2026-07-31
4,84.8014959283162,99.63898916967509,14.982031659949405,90.92203932011104,78.68095253652136,18458,Shohola,Pike County,PA,311210.0,-0.0101905905538274,-0.8704082688077452,-0.0486209813659765,,-0.7200923988307573,-0.2150844956580581,0.0884492060728412,0.2751219810069465,2.0,2026-07-31
5,84.53255681767982,99.51865222623346,14.982031659949405,86.31703335087754,82.7480802844821,18328,Dingmans Ferry,Pike County,PA,262697.0,0.0356474390248852,-1.0398765689999738,-0.2404770189886367,,-0.7794690722972153,-0.1925110778450537,0.0899469629820064,0.0024173464842454,2.0,2026-07-31
6,83.05008492639169,99.3983152827918,14.982031659949405,81.47985505124947,84.62031480153391,08759,Toms River,Ocean County,NJ,276757.0,-0.0429865143117403,-0.9877359347189644,-0.5506864611601792,0.1131678245975365,-0.2211400204169245,-0.2608519769722425,0.0370984129278344,-0.0254964385662945,1.7,2026-07-31
7,83.0157471724674,99.27797833935018,14.982031659949405,91.53607953387016,74.49541481106465,18428,Hawley,Pike County,PA,327562.0,0.0231930416359439,-0.8191988873422957,-0.0164349676804036,,-0.4357293724559963,-0.1860321018362936,0.0474693297730368,-0.0702625213591081,2.1,2026-07-31
8,82.93083157300583,99.15764139590854,14.982031659949405,84.08361848537707,81.77804466063459,11415,New York,Queens County,NY,381318.0,-0.5987783391649263,-0.6672414569582905,-0.5442931454127535,0.0829123365127191,-0.4049028214980599,0.0418686737497491,-0.0335384178726201,0.0052601618164039,1.2,2026-07-31
9,82.51662266962,99.03730445246693,14.982031659949405,85.21693167483737,79.81631366440263,18426,Greentown,Pike County,PA,288029.0,0.0005959204907263,-0.9478163782440774,-0.1417241575548651,,-0.3731644027128429,-0.2876965708940217,0.038587709335319,-0.1801246481264244,2.2,2026-07-31
10,82.06454657090191,98.91696750902528,14.982031659949405,86.62475615847771,77.50433698332611,07416,Franklin,Sussex County,NJ,380608.0,0.0398358670900268,-0.6691050167264425,-0.2206302988163244,,-0.4909620671626709,-0.2787154716548418,0.0888674904844126,0.0202652291684224,2.1,2026-07-31
11,81.9720083559715,98.79663056558364,14.982031659949405,90.59693649205688,73.34708021988612,08733,Lakehurst,Ocean County,NJ,371578.0,0.0794962401419518,-0.6931184322960107,-0.3508946681167924,,-0.42329765392764,-0.3189781299626598,-0.0078385595143757,0.1029739526639271,2.4,2026-07-31
12,81.94779854736873,98.676293622142,14.982031659949405,80.74487083910682,83.15072625563064,10452,New York,Bronx County,NY,297575.0,-0.3396975613194911,-0.915208851651439,-0.5916925747478885,0.1030461827807118,0.0854761119165548,-0.3266225073013453,0.1023210374725991,0.0317320860004975,0.3,2026-07-31
13,81.38826770474027,98.55595667870035,14.982031659949405,88.54639876831779,74.23013664116276,18336,Matamoras,Pike County,PA,307553.0,0.0534229331494881,-0.8822280021085707,-0.1581793068487105,,-0.4277973364282339,-0.1688278427619804,-0.2066934544901943,0.0931205150490471,2.2,2026-07-31
14,80.62705340901104,98.43561973525873,14.982031659949405,78.53100360267923,82.72310321534286,10463,New York,Bronx County,NY,367932.0,-0.4603647406545988,-0.7029777110575957,-0.3934051543802734,0.0970449864060458,-0.2988622334100406,-0.0498713020251805,0.0185023067243523,-0.0015598706997487,1.7,2026-07-31
15,80.52498694476145,98.31528279181708,14.982031659949405,83.63740171602953,77.41257217349339,10471,New York,Bronx County,NY,437902.0,-0.2562994747986252,-0.5288819084675573,-0.3211377562769826,0.079192444090406,-0.4428005345275558,0.0873145119798228,-0.0815186084337149,-0.0237057419661874,1.3,2026-07-31
16,79.82393640577641,98.19494584837544,10.696008796053192,87.85371129749423,71.79416151405859,08828,Helmetta,Middlesex County,NJ,434055.0,0.032039170316516,-0.5377060122962245,-0.3358554095994321,,-0.4110840319545137,-0.0856338582986174,-0.1697527916870189,0.0704911303494662,1.7,2026-07-31
17,79.67687687504967,98.0746089049338,10.696008796053192,82.78596773666249,76.56778601343686,07827,Montague Township,Sussex County,NJ,324869.0,0.0441094103498404,-0.827454738904537,-0.2005831129475925,,-0.7257047965782608,-0.1998950917298742,0.0625337924484092,-0.1913260705243524,2.0,2026-07-31
18,79.6474130591068,97.95427196149218,10.696008796053192,78.64446483562001,80.65036128259358,07093,West New York,Hudson County,NJ,448784.0,-0.0563412564301209,-0.5043337530575815,-0.8979269366715528,0.0668298030908548,-0.0759170552582422,-0.1347738363592883,0.0103386810207091,0.0135729056692215,1.7,2026-07-31
19,79.6061676244302,97.83393501805054,10.696008796053192,85.9188393533123,73.2934958955481,07462,Vernon,Sussex County,NJ,301279.0,0.1315070671647248,-0.9028400349230594,-0.3907049219024419,,-0.7453582811303445,-0.1635930004833232,-0.1553056242641588,0.0317684175634005,1.6,2026-07-31
