rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,zillow_1y_forecast_pct,origin
20,79.17082569444563,97.71359807460892,10.696008796053192,82.21099915120004,76.13065223769122,18324,Bushkill,Pike County,PA,267619.0,0.1407912262537735,-1.0213126997230173,-0.2789167485153392,,-0.509869647336813,-0.2392927817218698,-0.0981977272636758,-0.0367094099868745,1.9,2026-07-31
21,78.97318178471825,97.59326113116728,10.696008796053192,80.69041264413333,77.25595092530317,08880,South Bound Brook,Somerset County,NJ,460132.0,-0.0063244493494703,-0.4793629137062094,-0.3335100293526292,0.0567228604805569,-0.4851486756887546,-0.2521609273093891,0.0505850626520931,-0.0321464547762972,1.9,2026-07-31
22,78.1715278357228,97.47292418772562,10.696008796053192,75.89243219115191,80.45062348029369,11372,New York,Queens County,NY,431391.0,-0.5777212199587499,-0.5438613718387142,-0.4852333463241649,0.0746237208731076,-0.1870525398238822,-0.1211392435197571,0.0279938023143682,-0.0243604042658504,0.7,2026-07-31
23,78.16615828207355,97.352587244284,10.696008796053192,80.63619517454057,75.69612138960652,07734,Keansburg,Monmouth County,NJ,426817.0,0.0963477070899085,-0.5545202604651305,-0.4915007386758692,0.0702876935038598,-0.2403362393291097,-0.2488148729301645,0.0484135926163329,-0.1403746309915747,3.3,2026-07-31
24,78.15579320499052,97.23225030084237,10.696008796053192,83.56420926909234,72.7473771408887,07439,Ogdensburg,Sussex County,NJ,437204.0,0.0547692641633638,-0.5304764786089731,-0.0947928261991393,,-0.4684138626268546,-0.1446073061561892,-0.0680055502759273,-0.0122958549605527,2.1,2026-07-31
25,78.14936145732204,97.11191335740072,10.696008796053192,86.12293069770111,70.17579221694297,07419,Hamburg,Sussex County,NJ,402973.0,0.0932637143507197,-0.6120054060881923,-0.1092978491555207,,-0.503023429391795,-0.134169432245706,-0.1015635337354741,0.0629789140260473,2.1,2026-07-31
26,77.92356110288571,96.9915764139591,10.696008796053192,81.70727769277133,74.13984451300011,10467,New York,Bronx County,NY,429079.0,-0.3681799580762966,-0.5492356801312095,-0.0624101820239175,0.0663318100106702,0.2734887690375636,-0.2701877718046072,-0.0057087018100467,0.0181508622148707,2.2,2026-07-31
27,77.47670202092723,96.87123947051744,10.696008796053192,76.99248319297483,77.96092084887964,11374,New York,Queens County,NY,436259.0,-0.6416895334429796,-0.5326398514627382,-0.3147325996741337,0.0856630068901699,-0.3181793049281289,-0.0009837328292628,0.0739818771493077,-0.025804409230442,1.2,2026-07-31
28,77.18350174514799,96.7509025270758,10.696008796053192,82.75886171315776,71.60814177713823,07111,Irvington,Essex County,NJ,423394.0,0.0776408510834056,-0.5625732909540382,-0.2906637396084477,0.0566201434898999,0.0378756096969385,-0.2793527541372392,0.0790557781041787,0.0236331025872654,2.1,2026-07-31
29,77.0086169712053,96.63056558363418,10.696008796053192,79.78326370671469,74.23397023569589,07103,Newark,Essex County,NJ,402662.0,-0.0348749611622981,-0.6127797920998255,-0.1796125904473147,0.0652248090384153,0.1662352883024513,-0.2570551193295978,0.3062646535511302,-0.0245208197376347,1.8,2026-07-31
30,76.93850035540154,96.51022864019254,10.696008796053192,81.42901565921842,72.44798505158468,11950,Mastic,Suffolk County,NY,519683.0,0.0995411339496609,-0.3576577676771784,-0.2384044977847406,,-0.2179032014506472,-0.3259735047780573,-0.2064828491635104,-0.0029118379715542,2.6,2026-07-31
31,76.81604721704014,96.38989169675092,10.696008796053192,86.7825242185317,66.84957021554858,08887,Branchburg Township,Hunterdon County,NJ,350495.0,0.2551685091559473,-0.7515296752666671,-0.7238987710558202,,-0.7246710817831457,-0.0922490142439591,-0.1185666688885511,0.0666609331602122,2.3,2026-07-31
32,76.49486497971174,96.26955475330928,10.696008796053192,78.2274813935367,74.76224856588678,08757,Toms River,Ocean County,NJ,347292.0,0.039515793560373,-0.7607099566125513,-0.3294234759918399,0.0986297484682971,-0.1053810329751201,-0.3028314638708537,0.0037769451949767,-0.0001546933452336,1.8,2026-07-31
33,75.69254606645458,96.14921780986762,10.696008796053192,79.18327603048478,72.20181610242437,11367,New York,Queens County,NY,513255.0,-0.333574532634692,-0.3701036507280371,-0.2394962531422955,0.0586264008261128,0.0328520973930615,-0.0323032963369663,-0.0646491500849943,-0.0578201722462272,1.0,2026-07-31
34,75.12298885146336,96.028880866426,10.696008796053192,78.45792652302538,71.78805117990133,07860,Newton,Sussex County,NJ,450730.0,0.0239199603873107,-0.5000071994426296,-0.0769802829908847,0.0528741995847401,-0.4796397080748449,-0.1023648698571855,-0.0055861053756647,-0.011740828266381,2.3,2026-07-31
35,75.09582118008476,95.90854392298436,10.696008796053192,77.19237750732152,72.999264852848,11368,New York,Queens County,NY,554370.0,-0.3057285772401897,-0.2930433773745182,-0.087126957589465,0.0512894269053526,0.1478043817450121,-0.3361522107054116,0.0563390521230182,-0.0109986100632572,1.2,2026-07-31
36,74.98390538667148,95.78820697954272,7.225402630928768,75.14474838776229,74.82306238558067,11722,Central Islip,Suffolk County,NY,578597.0,-0.0060296964527971,-0.2502706867955702,-0.197256994168093,0.0645018856829763,-0.2656420029889343,-0.2973229649098479,0.1876738929754289,0.0158910254452282,2.6,2026-07-31
37,74.74920140157829,95.66787003610108,7.225402630928768,77.8274120657099,71.67099073744667,18337,Milford,Pike County,PA,356960.0,0.0242356307731718,-0.7332517462629227,0.1008145375376994,,-0.5461952434654223,-0.1560876462946188,-0.1040221218497183,0.0857834763363707,2.0,2026-07-31
38,74.28624944720917,95.54753309265944,7.225402630928768,76.62847844087474,71.94402045354362,08901,New Brunswick,Middlesex County,NJ,449510.0,-0.0012250875952869,-0.5027191138171645,-0.2538544585091511,0.0730009322619128,0.0317659481292273,-0.255508041845169,0.1763399749918921,-0.0334364695976849,1.7,2026-07-31
39,74.244677027,95.4271961492178,7.225402630928768,79.73099745364726,68.75835660035274,18445,Newfoundland,Pike County,PA,291421.0,0.0081986687817043,-0.936108154831798,-0.0826527040948352,,-0.1932049601347991,-0.2635837472450067,-0.3261236965955749,-0.0900528598324894,2.1,2026-07-31
40,74.14265003043488,95.30685920577618,7.225402630928768,76.54906829464896,71.7362317662208,07088,Union,Union County,NJ,474664.0,-0.1233495356496781,-0.4482698418643274,-0.5088883269193456,,-0.2621897916174636,-0.1756586259677091,0.1430783277180563,-0.2520173268585305,1.7,2026-07-31
41,73.83576363562361,95.18652226233452,7.225402630928768,74.03342023182685,73.63810703942035,10034,New York,New York County,NY,448580.0,-0.4524594830509759,-0.5047886628036284,-0.1210787143441862,0.0681762113804249,0.0005847030034018,-0.1028229069434887,-0.0117771565789333,-0.0427788584663805,0.7,2026-07-31
42,73.77370405987357,95.0661853188929,7.225402630928768,79.47314167594635,68.07426644380078,10993,West Haverstraw,Rockland County,NY,446796.0,0.0791468700348229,-0.508773296620868,-0.3822286989662604,,0.0199692817992083,-0.2539665716388617,0.1030645581238314,-0.0085790638459195,2.8,2026-07-31
43,73.3829694517405,94.94584837545126,7.225402630928768,79.30773518610637,67.45820371737462,07826,Branchville,Sussex County,NJ,465172.0,0.0006159845920134,-0.4684682296042055,0.2144321024044124,,-0.5059434863004075,-0.1130393465413575,0.0833546612546403,-0.0203858988463172,2.5,2026-07-31
44,73.15913344463765,94.82551143200962,7.225402630928768,80.61252778167278,65.70573910760251,08740,Ocean Gate,Ocean County,NJ,452864.0,0.1375250025099891,-0.4952837020321663,-0.3194348462944081,,-0.013870476530456,-0.1559139230132091,-0.0418397368178435,-0.0601740418006142,2.3,2026-07-31
45,72.98537650302484,94.705174488568,7.225402630928768,75.1585030824165,70.81224992363316,11778,Rocky Point,Suffolk County,NY,558708.0,0.036647574587635,-0.2852485107376665,-0.1553914690823585,,-0.4030395656029804,-0.1228197743495734,0.0250393836668223,0.0084697657511763,2.5,2026-07-31
46,72.86083711154552,94.58483754512636,7.225402630928768,76.16791027303968,69.55376395005135,18464,Tafton,Pike County,PA,359747.0,-0.0025968695594165,-0.7254750918930561,0.106946848170649,,-0.3516145967536108,-0.2666117467877862,-0.0343887077857285,0.1570335764313005,2.0,2026-07-31
47,72.70213366026661,94.46450060168472,7.225402630928768,71.79482826682336,73.60943905370986,11373,New York,Queens County,NY,527239.0,-0.3876692827492537,-0.3432229169675604,-0.1705911110244731,0.064251739706191,0.1086162571556321,-0.1982629805686293,0.038490677489376,0.002612933275586,0.9,2026-07-31
48,72.68982414200002,94.34416365824308,7.225402630928768,79.99406619310379,65.38558209089625,07874,Stanhope,Sussex County,NJ,454649.0,0.0958365456850799,-0.4913513262350104,-0.1602835493891135,,-0.6566771072468669,-0.0650400399686855,0.0798610512791473,0.0095333775826225,2.6,2026-07-31
49,72.62666509391676,94.22382671480143,7.225402630928768,78.92857245940537,66.32475772842814,07843,Hopatcong,Sussex County,NJ,455778.0,0.1251952448671204,-0.4888693809542364,-0.1182747735621365,,-0.4557534270655232,-0.1561109677629137,-0.0071817379703915,-0.1101261861147315,2.5,2026-07-31
50,72.56374387926763,94.1034897713598,7.225402630928768,80.13772001346297,64.98976774507229,08722,Beachwood,Ocean County,NJ,475088.0,0.130526572951393,-0.4473759084852169,-0.1274425545174828,,-0.3976198943481634,-0.2159380110746803,0.0610793946277787,0.0334412503795287,2.2,2026-07-31
51,72.41548117275116,93.98315282791818,7.225402630928768,76.34281238376333,68.488149961739,07062,Plainfield,Union County,NJ,502841.0,0.1006015661038993,-0.3906013480835906,-0.4912152966750192,0.052591133301535,-0.2578160200342101,-0.1670036694694091,0.114664444219553,0.0652023825672503,2.2,2026-07-31
52,72.33465071985002,93.86281588447652,7.225402630928768,78.42273340004056,66.24656803965948,07865,Port Murray,Hunterdon County,NJ,517663.0,-0.0002184907251706,-0.3615521289219057,-0.0169451058083218,,-0.3229448757659494,-0.027600222736892,-0.3627514149530633,0.1838386181271139,2.3,2026-07-31
53,72.32427007276877,93.7424789410349,7.225402630928768,75.34208930084743,69.30645084469012,07465,Wanaque,Passaic County,NJ,523601.0,-0.0523033364158816,-0.3501454527991683,-0.2376036527845162,,-0.3752023705203371,-0.0042056189200233,-0.1158078250272574,-0.0712742669640344,1.5,2026-07-31
54,72.23115485381257,93.62214199759326,7.225402630928768,75.14512673189296,69.31718297573217,10927,Haverstraw,Rockland County,NY,460822.0,0.0742117113551565,-0.4778635967087776,-0.3474052353082371,0.0851072736498802,-0.0763190371489479,-0.2424916622017103,-0.0576357943830956,-0.011302962952113,2.5,2026-07-31
55,72.22001904107748,93.50180505415162,7.225402630928768,72.5430607767056,71.89697730544937,10458,New York,Bronx County,NY,431786.0,-0.3590772095436133,-0.5429461124042358,-0.0405919625749842,0.0770260763142369,0.4696286706000687,-0.3075948196052724,-0.0898654585574192,0.0120200842984934,1.4,2026-07-31
56,72.21231921536875,93.38146811071,7.225402630928768,71.57268199389628,72.8519564368412,18405,Beach Lake,Wayne County,PA,310993.0,0.0514757867652274,-0.8711046848458466,-0.0276572186809556,,-0.4330481007984137,-0.2330455572680991,-0.0593023221172295,-0.1503933951503008,,2026-07-31
57,72.20488225078206,93.26113116726836,7.225402630928768,72.16648497208628,72.24327952947785,08087,Tuckerton,Ocean County,NJ,424554.0,0.1322200541326633,-0.559836496043923,-0.2325262869493762,0.0692742317550129,-0.356851161547451,-0.1999619708343946,0.0912376690765981,-0.0947513166058688,2.4,2026-07-31
58,72.12774147838626,93.14079422382672,7.225402630928768,70.60314030028637,73.65234265648614,07305,Jersey City,Hudson County,NJ,539819.0,-0.1123542354417526,-0.3196428643364548,-0.5374278688648904,0.0514476004864707,0.06397038033809,-0.1416519513083525,0.0819096101811567,0.0732719292949417,1.3,2026-07-31
59,71.99648604499103,93.02045728038507,7.225402630928768,74.64422023475223,69.34875185522982,10931,Hillburn,Rockland County,NY,517857.0,0.0119527274915597,-0.361176101766862,-0.583973866759365,,-0.0631477943648637,-0.2343818787647792,-0.0542218399361882,0.1711314556734085,2.3,2026-07-31
60,71.93506332407509,92.90012033694344,7.225402630928768,77.14758686723764,66.72253978091256,07721,Cliffwood,Monmouth County,NJ,524908.0,0.010812232993706,-0.3476523119566082,-0.2270961561620303,,-0.4390674888545327,0.0463303533028236,0.231440176704913,0.1318567082575524,2.0,2026-07-31
61,71.85179498546592,92.7797833935018,7.225402630928768,74.66488138372365,69.03870858720818,08005,Barnegat,Ocean County,NJ,508616.0,0.1030568445532512,-0.3791835617981096,-0.2789251983279115,,-0.1967861260843595,-0.1529882772629532,0.0047709602040502,0.0722185647730618,2.5,2026-07-31
62,71.79821357296623,92.65944645006016,7.225402630928768,75.26556035284406,68.3308667930884,07063,Plainfield,Union County,NJ,496634.0,0.0681133059241915,-0.403023630566059,-0.3783484589443144,,-0.2176297455403884,-0.2827779811404569,0.1245062514486559,-0.1265842515866617,2.5,2026-07-31
63,71.65277618809901,92.53910950661852,7.225402630928768,76.30981906073325,66.99573331546478,07035,Lincoln Park,Morris County,NJ,549063.0,0.051506003401203,-0.3026621753129923,-0.2729149609140133,,-0.3954902979501391,-0.0408456601969429,-0.0034554979676126,0.0032231158360896,2.0,2026-07-31
64,71.25154592250937,92.4187725631769,7.225402630928768,79.42015220912396,63.082939635894775,07420,Wanaque,Passaic County,NJ,506841.0,0.0906702163056024,-0.382678951283296,-0.2696373065234176,,-0.3553171809133382,-0.1479989518834342,0.0343236071038361,-0.0094785030381589,2.1,2026-07-31
65,71.2249159491688,92.29843561973526,7.225402630928768,79.70078888314983,62.74904301518778,08823,Franklin Park,Somerset County,NJ,430122.0,0.1184234213587437,-0.5468072073097421,-0.5085818959971338,,-0.575660347239759,0.1000968203339609,-0.1248707764691499,-0.1852582010933223,1.8,2026-07-31
66,71.19931509810695,92.17809867629362,7.225402630928768,71.51211134420087,70.88651885201301,08723,Brick,Ocean County,NJ,526199.0,0.0891837901469671,-0.3451961440829851,-0.5094290718206071,0.0637274373583098,-0.312006557236127,-0.1578720256882046,0.1229685723283822,-0.0633585291500026,2.2,2026-07-31
67,71.04984123227638,92.057761732852,7.225402630928768,73.86258639582137,68.23709606873138,08835,Manville,Somerset County,NJ,487522.0,0.0680528649916357,-0.4215407858599818,-0.2316722574020158,,-0.2364576645117531,-0.2204382977674036,0.0618638315300152,0.0576910483637525,2.0,2026-07-31
68,71.04851599582646,91.93742478941034,7.225402630928768,70.15633785627146,71.94069413538146,10552,Mount Vernon,Westchester County,NY,556112.0,-0.0744719677242869,-0.289907343567771,-0.4333922338082825,0.0635268263406018,-0.1404396676091128,0.0227947709290732,-0.0063403753775777,0.0819142735301688,2.7,2026-07-31
69,70.96166863873503,91.81708784596871,7.225402630928768,71.82760818206835,70.09572909540172,11967,Shirley,Suffolk County,NY,551177.0,0.0922802383325439,-0.2988204220679993,-0.161069273589387,,-0.2926369257488954,-0.2904362241836892,0.0185194120138021,-0.0268707023256699,2.6,2026-07-31
70,70.9592950471363,91.69675090252709,7.225402630928768,73.92727780637841,67.99131228789416,08829,High Bridge,Hunterdon County,NJ,464383.0,0.0621543944943056,-0.4701668750010626,-0.3295365886271586,0.0555576072803107,-0.4715698558671459,0.0019897754245347,-0.0757038864862202,-0.1583055133027168,2.7,2026-07-31
71,70.95830235952042,91.57641395908544,7.225402630928768,71.14579396930084,70.77081074973998,10040,New York,New York County,NY,483751.0,-0.4898868440396949,-0.4293059313142393,-0.0942503647733872,0.0741192354328424,0.1096565454800468,-0.1009935852242628,0.0455661250029493,-0.0485412316552992,0.9,2026-07-31
72,70.94793548955738,91.4560770156438,7.225402630928768,69.3459777509132,72.54989322820157,07601,Hackensack,Bergen County,NJ,472186.0,-0.0196172431831321,-0.4535023807090415,-0.3792022344097443,0.0691219809186575,-0.1663545089634681,-0.0692862438695535,-0.0468573511321146,0.0130071064974919,2.1,2026-07-31
73,70.93280978991108,91.33574007220216,7.225402630928768,65.46956863633957,76.39605094348258,10451,New York,Bronx County,NY,338618.0,,-0.7860023191311178,-0.4826973462887824,0.1057741749882557,0.2776077936004639,-0.2697454016978914,0.0136969703605895,0.1015308699353883,1.2,2026-07-31
74,70.79639424908038,91.21540312876051,7.225402630928768,70.22937454767172,71.36341395048905,11726,Copiague,Suffolk County,NY,591240.0,-0.0719975535442106,-0.2286541269935877,-0.1651241178250355,,-0.3627423389324999,-0.228108346683304,0.3055380579323596,-0.0366423283421945,2.0,2026-07-31
75,70.7269019065633,91.0950661853189,7.225402630928768,77.38344409964597,64.07035971348063,07095,Woodbridge,Middlesex County,NJ,489322.0,0.1287971882215032,-0.4178553149604873,-0.1471839484501806,0.0628933655492999,-0.3498537903374139,-0.1286359326221594,-0.0394038842282853,0.0076723628337538,2.5,2026-07-31
76,70.63000089904563,90.97472924187726,7.225402630928768,71.50660449546265,69.75339730262861,11104,New York,Queens County,NY,532541.0,-0.6364608951560996,-0.3332160652569609,-0.4433901897843562,0.0638279341246105,-0.0028092940636554,0.0336071422156091,-0.0561753398660958,0.0043968337018756,-0.3,2026-07-31
77,70.3973551227191,90.8543922984356,7.225402630928768,71.90348638734315,68.89122385809506,07050,Orange,Essex County,NJ,473839.0,0.0037263761520382,-0.4500077923541568,-0.2669216572391359,0.0503428853716064,0.3092366218872022,-0.2643277019493049,-0.0312804444985346,-0.0228560518783084,2.4,2026-07-31
78,70.3524257956318,90.73405535499398,7.225402630928768,69.5212260491964,71.1836255420672,07421,West Milford,Passaic County,NJ,492328.0,0.0309105617820563,-0.4117316238534272,-0.0599731307868118,0.0682472250986708,-0.5564695637089969,-0.1029159494224817,0.0769082254709943,-0.0863985473209145,2.3,2026-07-31
79,70.2139631402062,90.61371841155234,7.225402630928768,73.72243425735782,66.70549202305457,08724,Brick,Ocean County,NJ,524165.0,0.1288838145465124,-0.349068943252929,-0.7682161984722935,0.0579333692061596,-0.2637733172446872,-0.1246978486719197,0.027057662031666,-0.0365432796304998,2.5,2026-07-31
80,69.99686810460776,90.49338146811073,4.510808973834091,69.44834546623258,70.54539074298292,10601,White Plains,Westchester County,NY,492191.0,-0.0643230623746312,-0.4120095968730908,-0.6866796031544382,0.0803064197308997,-0.1434591483202674,0.0247205327020649,-0.0452358625566695,0.0491424363871025,1.4,2026-07-31
81,69.53702139794528,90.37304452466908,4.510808973834091,74.08126763355763,64.99277516233293,08753,Toms River,Ocean County,NJ,549575.0,0.10735570988091,-0.3017308847466093,-0.2321127634491766,0.0602344201081552,-0.236565431498666,-0.1135428536959801,0.007776898618518,0.0470710003465167,2.7,2026-07-31
82,69.46185337988821,90.25270758122744,4.510808973834091,70.24819846673277,68.67550829304365,07803,Mine Hill Township,Morris County,NJ,507256.0,0.0389051733723512,-0.381860964756628,-0.0795493313028838,,-0.4446147912875979,-0.0774486332836935,0.0395612689414175,0.0869598259213318,2.0,2026-07-31
83,69.4253496072709,90.1323706377858,4.510808973834091,69.90145523105461,68.94924398348718,10537,Lake Peekskill,Putnam County,NY,435796.0,0.0813581596090941,-0.5337016871120355,-0.3712435166981063,,-0.696132716332069,0.0606480026835112,0.0516909831350869,-0.0111883509656578,2.6,2026-07-31
84,69.35126842724719,90.01203369434417,4.510808973834091,73.21712499774402,65.48541185675036,07060,Plainfield,Union County,NJ,533396.0,0.0931034450163149,-0.3316124111446186,-0.3678539909942842,0.0467577713629069,0.0252473088657463,-0.2913266357170364,0.0606519609651492,-0.0425628924856977,2.5,2026-07-31
85,69.16731442883716,89.89169675090253,4.510808973834091,73.52793655782686,64.80669229984744,07461,Sussex,Sussex County,NJ,461077.0,0.0360321935915116,-0.4773117037160634,0.1271318180686194,,-0.4287060879026569,-0.1754252628707925,-0.0512752613306712,-0.0162527160881411,2.3,2026-07-31
86,69.03498782048698,89.7713598074609,4.510808973834091,70.76657461342852,67.30340102754543,11789,Sound Beach,Suffolk County,NY,535124.0,0.0253392275104364,-0.3283776636456146,-0.1810338632768964,,-0.4863405559397702,-0.027886244693685,0.0225510561198785,-0.027131526337708,2.5,2026-07-31
87,69.03137689295986,89.65102286401925,4.510808973834091,67.65299229515087,70.40976149076886,10566,Peekskill,Westchester County,NY,526781.0,-0.0265783500479322,-0.3440908346484228,-0.1603497885571592,0.0726930466692732,-0.0766462396652525,-0.1128029194606931,0.1791888978609872,0.0782197535421363,2.7,2026-07-31
88,68.9796567159271,89.53068592057761,4.510808973834091,75.23879961380193,62.72051381805229,08731,Forked River,Ocean County,NJ,507252.0,0.1055957219045677,-0.3818677798755292,0.0463996081499828,,-0.2514996046234306,-0.1520886613192903,-0.0580170217861102,0.0480168925646824,2.4,2026-07-31
89,68.9020446002265,89.41034897713598,4.510808973834091,71.3678137678548,66.4362754325982,18371,Tamiment,Pike County,PA,315290.0,0.0559881629133322,-0.857384604250317,-0.0879763882923274,,-0.7677353567964762,-0.4172505873872567,0.0188948940396525,0.1230847221847153,2.1,2026-07-31
90,68.83697424878268,89.29001203369434,4.510808973834091,73.5030859206028,64.17086257696256,07206,Elizabeth,Union County,NJ,514173.0,0.1161580962233163,-0.3683169628297804,-0.1049729758405373,0.0492500804680097,0.1272747220351806,-0.3963632696526921,0.2396479273540919,0.0837711581288139,2.8,2026-07-31
91,68.77248592172684,89.16967509025271,4.510808973834091,71.14370153083321,66.40127031262047,07205,Hillside,Union County,NJ,521735.0,0.0466755167040759,-0.3537157625484237,0.0279662999994698,0.0552004019087036,-0.2328979097461936,-0.2129899918719593,0.0485830847817201,-0.0708951032760116,2.3,2026-07-31
92,68.29883234819933,89.04933814681108,4.510808973834091,72.70702705996096,63.890637636437695,07422,Highland Lake,Sussex County,NJ,411809.0,0.0742664389341069,-0.5903154295415121,-0.0762268205076566,,-0.5578527306801011,-0.0489484495764483,-0.1475622337238107,-0.1622208103396409,2.6,2026-07-31
