origin_year,n,log_price_rel_metro,log_price_rel_metro_nyc,nbr_log_price_gap,nbr_log_price_gap_nyc,price_to_income,price_to_income_nyc,rent_yield,rent_yield_nyc,log_income,log_income_nyc,bachelors_share,bachelors_share_nyc,mom_1y,mom_1y_nyc,mom_5y,mom_5y_nyc,unemployment_rate,unemployment_rate_nyc
2000,11219,-0.0660089397160266,-0.036198946243676,-0.0748183493083377,-0.0908807408837979,,,,,,,,,,,,,,
2001,11533,-0.1215122396750224,-0.315824570829041,-0.0850782457461794,-0.2261369705554523,,,,,,,,,0.1450803180338302,0.2027723536310129,,,,
2002,11961,-0.1434554329590593,-0.4255906034493044,-0.0953420706588905,-0.3208476512811712,,,,,,,,,0.1987600836500974,0.3901475450461151,,,,
2003,12245,-0.177539747371883,-0.4668762024969606,-0.1114727904306389,-0.3683749229589511,,,,,,,,,0.1531423006204153,0.312714504436216,,,,
2004,12569,-0.1996857998553369,-0.3352664096564885,-0.1264630444168056,-0.2199579479428736,,,,,,,,,0.1211496940382888,0.0756840101474188,,,,
2005,12883,-0.1812693675438569,-0.3204508438457329,-0.1278394606536529,-0.161807863611063,,,,,,,,,0.1002737500624617,0.5015723194605883,-0.0448333287677759,0.1613413055721886,,
2006,13015,-0.0094252720287846,0.0859172063827232,-0.0286418084601769,-0.0746807844545899,,,,,,,,,0.0490078689134148,0.3639783256673237,-0.1258707659470817,0.1089280738765274,,
2007,13255,0.2045293379750367,0.4705648305481768,0.1157184127402403,0.1525345826553663,,,,,,,,,0.0025230951156638,-0.301310798058709,-0.2039357538471914,-0.3458190492315713,,
2008,13568,0.2719424369449087,0.2912850689279905,0.1813714043244226,0.2013762949278115,,,,,,,,,0.2470470016530349,0.051621854909789,-0.0704231122588296,-0.4121828543654169,,
2009,14902,0.290382568353988,0.4733507979279936,0.1971523715680518,0.2174545224405686,,,,,,,,,0.2443549522505864,0.2220882960303167,0.1156012567821223,0.1742870429859549,,
2010,15134,0.2209387361563205,0.4922331490283181,0.1405657978453317,0.1968920460075303,,,,,,,,,0.0365004745773907,-0.0493020011161129,0.1651206470905322,0.4006214738027787,,
2011,15292,0.0602019152202954,0.3749633202551879,-0.0063976783457731,0.0963655411961581,,,,,,,,,0.1255071765451224,0.4777979481467868,0.0384194582105198,0.4243618417853844,,
2012,16184,-0.0655926213972154,0.3810004361869094,-0.1307742586996368,0.0684010400877713,,,,,,,,,0.1218027667568658,0.5107088448575702,-0.1094698327982522,0.4443371032622228,,
2013,16530,-0.1931157600342336,0.2505045012533283,-0.2339149523049443,-0.0533079756374595,-0.0883458078829071,0.422570882376646,,,-0.1895413888137806,-0.1798731559708592,-0.1907011141725045,0.067938752028412,0.2501626600924514,0.3716817466177466,-0.1066644587132012,0.3095506528300759,0.16969966604375,0.1055161146747294
