rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,zillow_1y_forecast_pct,origin
1,69.71058490735203,100.0,2.427117099025078,72.06570551876406,67.35546429594001,07711,Allenhurst,Monmouth County,NJ,2551963.0,0.3538470047321528,1.2337419486670047,0.8069844585099908,0.013871674510593861,1.2328992890664316,0.23427244684785975,-0.379025938189951,0.017339665087811526,3.6,2026-07-31
2,68.18826652237917,99.87966305655837,2.427117099025078,65.22197030310018,71.15456274165815,07456,Ringwood,Passaic County,NJ,618351.0,0.06986333345892284,-0.18381935419505524,0.05269707665482848,,-0.4891629923310472,0.034621238428602874,-0.011757524287189014,-0.03388418402638545,2.6,2026-07-31
3,67.6565384934085,99.75932611311673,2.427117099025078,68.74198513331393,66.57109185350309,07446,Ramsey,Bergen County,NJ,898748.0,0.06435837916051704,0.19012694239286,-0.1433530910030001,0.028038992666489307,-0.1699957131480503,0.1791874604687016,-0.1444819678509237,-0.09463012707672087,2.8,2026-07-31
4,67.30480971381253,99.63898916967509,2.427117099025078,77.70153469525846,56.9080847323666,08735,Lavallette,Ocean County,NJ,1222858.0,0.13471197252348902,0.49806977670815655,0.5887809729355826,0.01962615544592447,0.8758589386273179,0.033288810008428094,-0.2351925198200373,-0.0046985506586183085,3.0,2026-07-31
5,66.74413672999961,99.51865222623346,2.427117099025078,69.411438362243,64.0768350977562,08736,Manasquan,Monmouth County,NJ,1234188.0,0.14103542286771323,0.5072925060643438,0.11291276684846885,0.03359833358630678,0.0689367553292477,0.19881263187456222,0.08121240505800564,-0.05928252070011704,3.3,2026-07-31
6,66.7221334960211,99.39831528279181,2.427117099025078,71.27694274783794,62.167324244204266,11050,Port Washington,Nassau County,NY,1342500.0,0.01723592441544,0.5914123692642885,0.0561867910035847,0.03781230043447973,0.27425665858300685,0.1966760313260203,-0.08973245317569045,0.006618590114380304,2.4,2026-07-31
7,66.66876493431033,99.27797833935018,2.427117099025078,71.45563916029623,61.88189070832445,07928,Chatham,Morris County,NJ,1398136.0,0.11351373623438513,0.6320187639254389,0.25239039189427004,0.028851563611836644,-0.04480562189702764,0.3304698006392538,-0.08855136236799943,-0.031065957642542677,3.3,2026-07-31
8,66.34818981701744,99.15764139590854,2.427117099025078,72.24770175891906,60.448677875115834,07901,Summit,Union County,NJ,1421026.0,0.11089996144619577,0.6482579013806031,0.26773859651395426,0.02554845016670732,0.17822040719072052,0.22044915941827148,-0.08130203976544337,0.04844829258594201,3.3,2026-07-31
9,66.32687406744915,99.03730445246691,2.427117099025078,74.06453644138016,58.58921169351816,07760,Rumson,Monmouth County,NJ,1893311.0,0.13539339444865953,0.9352061623465779,0.7153466637674821,0.01990903906092287,0.2331222329010838,0.28185758720429277,0.06373625081854684,0.02150277933700044,3.5,2026-07-31
10,66.15700091229601,98.91696750902527,2.427117099025078,64.03212656834476,68.28187525624728,07719,Wall,Monmouth County,NJ,838165.0,0.07745897014784334,0.12033911009273801,-0.36425012268282053,0.04442446571126978,0.05553859326329191,0.03756632287519812,-0.05420139385019418,0.004438483439021021,2.7,2026-07-31
11,66.1331762074772,98.79663056558363,2.427117099025078,71.61545974780879,60.65089266714563,07090,Westfield,Union County,NJ,1328987.0,0.11799760752131441,0.5812962286140344,0.6084802792080168,0.0303722873520095,-0.1468918168425486,0.2901287165294635,0.07622094109493993,-0.004537762186536745,2.9,2026-07-31
12,66.02346340800949,98.676293622142,2.427117099025078,66.96622426391514,65.08070255210383,10803,Pelham,Westchester County,NY,1458307.0,0.1890028714544684,0.6741554659506583,0.7757918004029403,0.035449318468756874,0.023807328047221743,0.2625399233965483,0.08326257020748429,0.022292295147132088,3.7,2026-07-31
13,65.9770998553239,98.55595667870037,2.427117099025078,65.85092304741778,66.10327666323002,07040,Maplewood,Essex County,NJ,976566.0,0.10400675139355578,0.273166092843649,0.3570503255626143,0.03424107362631306,-0.1617546421288456,0.23619242729429013,-0.008546857613103143,0.05242614242970793,2.7,2026-07-31
14,65.90798536103543,98.43561973525873,2.427117099025078,63.38501427085218,68.43095645121866,10549,Mount Kisco,Westchester County,NY,966386.0,0.09014956304897695,0.26268688590696776,-0.11377186026339103,0.03346489747043763,0.0861935066193229,0.16100643257130653,-0.01822107945415752,0.05907396173381611,3.1,2026-07-31
15,65.64571564415427,98.31528279181708,2.427117099025078,63.860968224746514,67.43046306356202,07755,Oakhurst,Monmouth County,NJ,1092807.0,0.19184866228417655,0.3856289610387158,-0.03027337129728025,0.03980573755512614,0.20652681332386957,-0.0005614758452039958,0.02987175413630183,-0.07204003185284842,3.5,2026-07-31
16,65.44759592770096,98.19494584837545,2.427117099025078,72.71236206618363,58.18282978921828,08752,Seaside Park,Ocean County,NJ,889041.0,0.08942514487570499,0.17926742040475752,0.3410198575850707,,0.5342460071134354,0.04105584252934269,-0.13875062803443683,0.03148544704359173,2.9,2026-07-31
17,65.2709435334558,98.07460890493381,2.427117099025078,57.96755151258209,72.57433555432951,11790,Stony Brook,Suffolk County,NY,797463.0,0.03930900575602295,0.07055951751854828,0.05738027644825294,,-0.35062465003507737,0.20818008248455466,0.039062004498465086,-0.029626960580580522,2.6,2026-07-31
18,65.23843055783325,97.95427196149218,2.427117099025078,62.98588178976803,67.49097932589846,11735,Farmingdale,Nassau County,NY,748365.0,0.020172024822988993,0.007015014967024058,0.011553897452877493,0.04727637779043698,-0.2093840362288344,-0.023156342839049326,0.0072810795609559165,-0.1092694554525246,2.3,2026-07-31
19,65.21386646873634,97.83393501805054,2.427117099025078,64.56521078827772,65.86252214919496,07436,Oakland,Bergen County,NJ,780373.0,0.02366107674120635,0.04889607599393386,0.09296092643319298,,-0.3172643664537287,0.07746970074307324,0.01742064006008981,0.0002205394131052224,2.6,2026-07-31
