rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,zillow_1y_forecast_pct,origin
20,65.09877845259884,97.71359807460891,2.427117099025078,65.80238655499903,64.39517035019864,08732,Island Heights,Ocean County,NJ,661314.0,0.11460265824789176,-0.1166480936813592,0.14836428610839114,,-0.09587159505935472,0.04786198346267956,-0.106024888514888,0.029478846158923752,2.4,2026-07-31
21,64.93869111455233,97.59326113116727,1.6025548825049807,58.271408582872894,71.60597364623176,07463,Waldwick,Bergen County,NJ,767325.0,0.0651059547576324,0.032034107898025965,-0.3831267580517448,,-0.42827907204280113,0.10447727077583246,0.1236473369585731,-0.0595949366721535,2.7,2026-07-31
22,64.80823145434705,97.47292418772562,1.6025548825049807,69.30870875447509,60.30775415421902,10510,Briarcliff Manor,Westchester County,NY,1178572.0,0.11190702828593438,0.461182617764587,0.2742042107557392,,-0.21468648301829352,0.2227941036283081,0.0018340092899222782,-0.037365587900257416,3.6,2026-07-31
23,64.80142547889076,97.352587244284,1.6025548825049807,67.22471650825462,62.378134449526925,07974,New Providence,Union County,NJ,1022120.0,0.0965889520553688,0.3187577248299931,-0.021978037173138176,0.03276980728533838,-0.11266410070273314,0.22530544077174885,-0.11970435302018068,0.19874848352310998,2.9,2026-07-31
24,64.58104277025905,97.23225030084237,1.6025548825049807,71.30223915083431,57.85984638968377,07417,Franklin Lakes,Bergen County,NJ,1649638.0,0.1604207512103585,0.7974348993990876,0.7305367286317601,0.028333490482064228,0.05476250590946452,0.28267880218428654,0.08080496686426208,-0.06297547678698452,3.4,2026-07-31
25,64.26775642826496,97.11191335740072,1.6025548825049807,69.10737202185301,59.428140834676924,10577,Purchase,Westchester County,NY,2302543.0,0.14230168224464315,1.13089314009388,0.6832497418376917,,0.33068508665405427,0.2353571223633102,0.1893092267880796,-0.10103985022466118,3.4,2026-07-31
26,64.1022314765802,96.9915764139591,1.6025548825049807,58.14218200496983,70.06228094819058,11967,Shirley,Suffolk County,NY,551177.0,0.09228023833254398,-0.2988204220679993,-0.16106927358938705,,-0.29263692574889544,-0.29043622418368925,0.01851941201380214,-0.026870702325669973,2.6,2026-07-31
27,64.04544741650815,96.87123947051745,1.6025548825049807,62.97778780465795,65.11310702835836,07642,Hillsdale,Bergen County,NJ,877598.0,0.0844881847790461,0.166312817980522,-0.17919833256963535,,-0.3418690918503142,0.142580225758689,0.013906486683241681,-0.00860572096279251,2.9,2026-07-31
28,63.881384202573,96.75090252707581,1.6025548825049807,57.42415387197186,70.33861453317414,18405,Beach Lake,Wayne County,PA,310993.0,0.05147578676522749,-0.8711046848458466,-0.02765721868095561,,-0.4330481007984137,-0.23304555726809917,-0.05930232211722952,-0.15039339515030087,,2026-07-31
29,63.84784290660143,96.63056558363418,1.6025548825049807,69.0517444587152,58.64394135448765,10514,Chappaqua,Westchester County,NY,1555980.0,0.1293200640315785,0.7389847200518904,0.46025268049294255,,-0.061223333387935286,0.35368307276164423,-0.23118621328872813,-0.0683137696198572,3.7,2026-07-31
30,63.7917095377265,96.51022864019254,1.6025548825049807,64.16666362961494,63.41675544583805,11219,New York,Kings County,NY,1285891.0,-0.028553222903041936,0.5483313158107777,0.2606240546605125,0.025454714244309905,1.203180236696119,-0.28718448150873543,0.1294114154664321,0.023378094949411385,2.9,2026-07-31
31,63.7236372343082,96.38989169675091,1.6025548825049807,59.40286123528487,68.04441323333154,11950,Mastic,Suffolk County,NY,519683.0,0.09954113394966094,-0.3576577676771784,-0.2384044977847406,,-0.21790320145064723,-0.3259735047780573,-0.20648284916351045,-0.0029118379715542125,2.6,2026-07-31
32,63.63564308442584,96.26955475330927,1.6025548825049807,63.78107072168012,63.49021544717155,10470,New York,Bronx County,NY,669136.0,-0.0911893603849677,-0.10488839302510478,0.28495194038920246,,0.11604782052073292,-0.08699720105150249,0.1539093977783974,0.05092900905907198,3.1,2026-07-31
33,63.436870829625946,96.14921780986762,1.6025548825049807,69.81460753745266,57.059134121799225,10506,Bedford,Westchester County,NY,1686023.0,0.06618841952012958,0.819251563638165,0.3312635559411756,,0.019043510198339275,0.36036987133603715,-0.12211260523010914,0.03228427490509071,3.9,2026-07-31
34,63.42727008784465,96.028880866426,1.6025548825049807,58.1505303769526,68.70400979873669,07420,Wanaque,Passaic County,NJ,506841.0,0.09067021630560249,-0.382678951283296,-0.26963730652341766,,-0.3553171809133382,-0.14799895188343426,0.034323607103836196,-0.009478503038158961,2.1,2026-07-31
35,63.37185967018199,95.90854392298436,1.6025548825049807,61.140119499494695,65.60359984086928,08734,Lanoka Harbor,Ocean County,NJ,576777.0,0.12016099229014046,-0.25341996235743736,-0.012767482458849955,,-0.2857532890493826,-0.16700136473309624,0.04656828946569824,-0.23477045192453055,2.6,2026-07-31
36,63.31635411666573,95.78820697954272,1.6025548825049807,68.29725375110081,58.335454482230645,10580,Rye,Westchester County,NY,2360370.0,0.10188932486075189,1.1556975719500393,0.630311804676353,0.04117291929483763,0.3554895185102136,0.3111111121721615,0.016397483498353793,0.018944462932118974,3.8,2026-07-31
37,63.30142633812899,95.66787003610109,1.6025548825049807,60.64212245346621,65.96073022279178,10573,Port Chester,Westchester County,NY,907577.0,0.05151314841309898,0.19990192804474027,-0.5462786256143666,0.04431397549416752,0.2606863586864143,-0.026711256794237637,-0.047789196196397654,0.08275110981440852,3.0,2026-07-31
38,63.27011833736945,95.54753309265945,1.6025548825049807,62.770132942243606,63.7701037324953,11934,Center Moriches,Suffolk County,NY,697433.0,0.0444507555772006,-0.06346903566386253,-0.1536933609674307,,-0.4827113073877094,-0.07657222564708038,0.23749394391451695,0.024563357150271067,2.1,2026-07-31
39,63.16855884218588,95.4271961492178,1.6025548825049807,67.53489152387478,58.802226160496986,11548,Greenvale,Nassau County,NY,1158180.0,0.04725160215495486,0.443728511763279,-0.24411639906427318,,0.3589172478227176,0.15204057686098915,-0.33324065640946365,-0.3622980076001993,2.5,2026-07-31
40,63.16272152425726,95.30685920577618,1.6025548825049807,56.693718866948274,69.63172418156624,11784,Selden,Suffolk County,NY,608331.0,0.09047642861355279,-0.2001577318967822,-0.08201453220801369,,-0.126833563971114,-0.1985838069012743,-0.11639049988823658,0.04219070429342002,2.9,2026-07-31
41,63.12626804911929,95.18652226233453,1.6025548825049807,65.13023229720402,61.12230380103457,10560,North Salem,Westchester County,NY,857682.0,0.0398474622022075,0.14335679603540896,0.020285853704708146,,-0.402759845105485,0.17609807783640852,0.15109254566580432,-0.055718867474228786,3.0,2026-07-31
42,63.109077852442155,95.0661853188929,1.6025548825049807,65.57468864207073,60.643467062813585,10538,Larchmont,Westchester County,NY,1787056.0,0.12517918258400798,0.8774485667955396,0.6119156016801401,0.045797860150270216,0.26131640107751575,0.33473353959687024,-0.1767166075242237,0.13336844193912284,3.7,2026-07-31
43,62.977001629301995,94.94584837545126,1.6025548825049807,62.94493510552221,63.00906815308177,10522,Dobbs Ferry,Westchester County,NY,1033034.0,0.05306285158115501,0.3293787589490158,0.14356753454853788,0.048971303658197705,-0.05783393508117496,0.20436856133380288,-0.08878684661349823,0.0637953626118473,2.9,2026-07-31
44,62.95849093113408,94.82551143200962,1.6025548825049807,66.54137520287647,59.3756066593917,07649,Oradell,Bergen County,NJ,1028168.0,0.07087001278922714,0.32465803863618703,0.17787368039436835,,-0.3537037516274293,0.22762336988373522,0.2829220687552869,-0.04223120959465172,2.8,2026-07-31
45,62.88714590792068,94.70517448856799,1.6025548825049807,63.020160457466986,62.75413135837438,08848,Milford,Hunterdon County,NJ,538295.0,0.0023516832708757873,-0.3224700614972331,-0.029774956812316233,,-0.5329062888384499,-0.04324247132031711,0.0008996209953835432,-0.1964605060762687,2.3,2026-07-31
46,62.86310001051538,94.58483754512635,1.6025548825049807,61.851664641273196,63.87453537975756,10524,Garrison,Putnam County,NY,782078.0,0.0716381023298446,0.05107807870756531,0.3227522252192454,,-0.21298254298998143,0.1045889397193327,-0.0661986787079556,0.053017159567998726,3.2,2026-07-31
47,62.80464637736802,94.46450060168472,1.6025548825049807,65.79109235925789,59.81820039547816,11530,Garden City,Nassau County,NY,1339544.0,0.07237741062370198,0.5892080494834122,0.4459849108086349,0.053637671492501586,-0.11950771143574745,0.21796091031943143,0.07470934379828087,-0.014929300807324089,2.5,2026-07-31
48,62.6602408871361,94.34416365824309,1.6025548825049807,60.680085247399184,64.640396526873,11782,Sayville,Suffolk County,NY,777743.0,-0.017696002705319097,0.045519781339711685,0.06846700305958464,,-0.22821695235216777,0.07158958332917986,0.0025483983719620795,-0.03002063536412765,3.0,2026-07-31
49,62.64828397022683,94.22382671480143,1.6025548825049807,65.33978867141717,59.95677926903649,07945,Mendham,Morris County,NJ,1147874.0,0.08650989719277327,0.43479061450071477,0.277972482498523,,-0.36541743893911094,0.2966501470358658,0.07887090200841129,0.11904866127734896,2.7,2026-07-31
50,62.5949361247787,94.1034897713598,1.6025548825049807,61.466790396904415,63.723081852652975,07874,Stanhope,Sussex County,NJ,454649.0,0.09583654568507996,-0.49135132623501043,-0.1602835493891135,,-0.6566771072468669,-0.06504003996868551,0.07986105127914733,0.009533377582622557,2.6,2026-07-31
51,62.558353495749955,93.98315282791818,1.6025548825049807,60.975072079789484,64.14163491171043,10543,Mamaroneck,Westchester County,NY,1100042.0,0.048769342833955426,0.39222784196808114,-0.08068520430678383,0.04261407030362335,0.2738987400423205,0.08998640198507257,-0.03841129209571292,0.007794372331862129,3.4,2026-07-31
52,62.5270470984205,93.86281588447653,1.6025548825049807,70.9303203081498,54.123773888691204,11030,Manhasset,Nassau County,NY,2318744.0,0.05147839086249775,1.1379048738831692,0.5553345367090241,0.03764968823058203,0.39972091547177757,0.35321755155914314,-0.07357159383660239,-0.06767919947656127,2.7,2026-07-31
53,62.390923565669894,93.7424789410349,1.6025548825049807,63.934198787033225,60.84764834430657,08739,Lavallette,Ocean County,NJ,1784797.0,0.12838582369435017,0.8761835728543215,,,,,,,3.5,2026-07-31
54,62.37591316449274,93.62214199759326,1.6025548825049807,65.3835537692551,59.36827255973037,10536,Katonah,Westchester County,NY,1153134.0,0.05403882830096443,0.43936234195404644,0.26000890878449745,,-0.36084571148577926,0.2816932946274915,0.07880000265002174,-0.05575208516963644,3.6,2026-07-31
55,62.262761335084505,93.50180505415162,1.6025548825049807,60.17299954460819,64.35252312556082,07748,Middletown,Monmouth County,NJ,801122.0,0.07718173890714511,0.07513761963738297,0.019540910820744273,0.04868169618162648,-0.23391924662274843,0.032083626211431016,-0.0007044374808273801,0.01701693208449155,2.8,2026-07-31
56,62.23066211992623,93.38146811070999,1.6025548825049807,68.22729769969267,56.23402654015979,11559,Lawrence,Nassau County,NY,2238703.0,0.24666243557105041,1.102775778618577,0.8577549984443689,,0.8623775311584605,0.11650725683570384,0.15172482683423993,-0.03766205862795653,2.7,2026-07-31
57,62.20750847350618,93.26113116726835,1.6025548825049807,64.40915581815516,60.005861128857205,11733,Setauket,Suffolk County,NY,874260.0,0.04695532187696508,0.16250216068607237,0.19553739516659618,,-0.27115552914199914,0.13128793371224,-0.12262795971690466,0.05192951426542462,2.6,2026-07-31
58,62.18919687928665,93.14079422382672,1.6025548825049807,67.02658297879222,57.351810779781076,10533,Irvington,Westchester County,NY,1321738.0,0.04430330010833608,0.5758269977956267,0.38034763451488907,0.03438652963620454,0.13781019603471978,0.2677569227004458,-0.1399358583183865,-0.028340231934517582,3.0,2026-07-31
59,62.15981818950271,93.02045728038509,1.6025548825049807,65.1891431492721,59.13049322973332,07450,Ridgewood,Bergen County,NJ,1272299.0,0.1409473287015647,0.5377043893550688,0.30391234060213,0.03790383347070692,-0.0795907348293643,0.3099500302347208,-0.11058716515188927,0.039007747046449645,3.2,2026-07-31
60,62.00664143090441,92.90012033694343,1.6025548825049807,63.02807784917568,60.985205012633145,07452,Glen Rock,Bergen County,NJ,1116906.0,0.12694675028986283,0.4074416692203737,0.36478717312285447,,-0.24238590646412317,0.2405430677533792,-0.09121039004439879,-0.08479135699870506,2.8,2026-07-31
61,61.93309274328648,92.7797833935018,1.6025548825049807,61.43133412203227,62.4348513645407,08741,Pine Beach,Ocean County,NJ,584712.0,0.15053409426915856,-0.2397565520555851,0.012944981896742647,,-0.4820014446033636,-0.0002361871254337733,0.1847532843057671,-0.005022819106523094,2.9,2026-07-31
62,61.83903976791662,92.65944645006017,1.6025548825049807,57.677159285539624,66.0009202502936,07508,North Haledon,Passaic County,NJ,649150.0,0.07796739064915528,-0.13521166256517425,-0.036965368835545576,0.04618590233460847,0.023719888353471275,-0.16496279133327274,-0.04391327072949913,0.05090821298256136,2.6,2026-07-31
63,61.82135411897764,92.53910950661853,1.6025548825049807,60.52344015039355,63.11926808756172,11717,Brentwood,Suffolk County,NY,628519.0,0.021022531523952642,-0.1675093949808364,-0.09830730742408278,,,,,,2.6,2026-07-31
64,61.812419984842194,92.4187725631769,1.6025548825049807,61.168141969355304,62.456698000329084,07946,Millington,Morris County,NJ,917473.0,0.02367622589327603,0.2107467570495647,-0.14323947452121466,,-0.40835259893059583,0.18774047006858952,-0.016066971214163672,-0.18695728194758549,2.6,2026-07-31
65,61.7887691397067,92.29843561973526,1.6025548825049807,62.45600635847761,61.1215319209358,07656,Park Ridge,Bergen County,NJ,872587.0,0.034989583852869904,0.1605863716304068,-0.12354765480531427,0.0431739096878942,-0.2599898967222398,0.08379210065185028,-0.015758579984101573,-0.047614455478157416,2.6,2026-07-31
66,61.75554488089891,92.17809867629362,1.6025548825049807,54.70195662301979,68.80913313877804,11554,East Meadow,Nassau County,NY,821945.0,0.045474323242489595,0.10079668216190285,0.0643895995681234,0.03941871979450957,-0.07556981204240576,-0.0048058120917657265,-0.0008530144664753436,-0.07938915939396347,2.3,2026-07-31
67,61.673779321994736,92.05776173285199,1.6025548825049807,58.33000658577164,65.01755205821783,07419,Hamburg,Sussex County,NJ,402973.0,0.0932637143507197,-0.6120054060881923,-0.10929784915552077,,-0.503023429391795,-0.13416943224570604,-0.10156353373547411,0.06297891402604731,2.1,2026-07-31
68,61.56111596950852,91.93742478941034,1.6025548825049807,65.33022607103429,57.79200586798275,07041,Millburn,Essex County,NJ,1330636.0,0.1866387659460255,0.5825360555318628,0.5248007938235588,0.039980883418413986,-0.008180773049239365,0.3605152998972083,0.17749985954539405,0.03570970089338514,3.1,2026-07-31
69,61.53992789829293,91.81708784596871,1.6025548825049807,57.646053117125206,65.43380267946065,10562,Ossining,Westchester County,NY,684593.0,0.05352083504376495,-0.08205117623747249,-0.3337036206156867,0.05903128964655795,-0.11176901655946492,-0.05643616288015202,0.11365478143056862,-0.04540698346372958,2.9,2026-07-31
70,61.5152082513557,91.69675090252709,1.6025548825049807,60.69417104198082,62.33624546073058,07004,Fairfield,Essex County,NJ,828234.0,0.0006371759848921299,0.10842005070744953,0.02725878029831108,,0.0762591526735743,0.018489836526819903,-0.2823057557311017,0.0832960953227098,2.3,2026-07-31
71,61.44683454813322,91.57641395908543,1.6025548825049807,60.49744720964344,62.396221886622996,07764,West Long Branch,Monmouth County,NJ,1010883.0,0.15362441121311257,0.30770378514830377,-0.19423364485487404,,0.290387829239102,-0.04036507506436865,-0.18463077579933795,0.07082052912870145,3.0,2026-07-31
72,61.43025139499871,91.4560770156438,1.6025548825049807,58.38360485290083,64.4768979370966,08742,Point Pleasant,Ocean County,NJ,885209.0,0.14452747078117625,0.1749476403712027,-0.26499091426198973,0.04417977111153211,0.08278513999366122,0.04103384745530225,-0.016073534463455275,-0.0007774296720374912,2.9,2026-07-31
73,61.4211202130014,91.33574007220217,1.6025548825049807,58.33163284826014,64.51060757774266,11749,Islandia,Suffolk County,NY,644226.0,0.19824981075108142,-0.1428260124255516,-0.0892793689509066,,-0.1778539811684674,-0.16522996425768416,-0.013450878777588215,0.08749377708201349,2.8,2026-07-31
74,61.34696981511023,91.21540312876053,1.6025548825049807,58.7503215610743,63.943618069146154,07044,Verona,Essex County,NJ,780536.0,0.10495295486109271,0.04910480818156948,-0.149808391745875,0.049401088425647964,-0.31626505691819173,0.20982739133449047,0.027126778923152628,0.035292804180519874,2.5,2026-07-31
75,61.14725035581243,91.0950661853189,1.6025548825049807,60.97406726066461,61.32043345096025,11770,Mastic Beach,Suffolk County,NY,1422535.0,0.14247479171958624,0.6493199026642138,0.6312293215727589,,0.5537608774161746,-0.34780614294281226,,0.00041260911632816366,1.8,2026-07-31
76,61.14276353489445,90.97472924187726,1.6025548825049807,65.16107945161464,57.12444761817426,07079,South Orange,Essex County,NJ,1087816.0,0.11779870202495282,0.38105076349869194,0.4639794131149859,0.03284324927951919,-0.17282810893474232,0.28072433401550667,0.11289870880571229,0.06982871600696532,2.5,2026-07-31
77,61.11654750422357,90.85439229843561,1.6025548825049807,58.634211084565834,63.5988839238813,10502,Ardsley,Westchester County,NY,1088740.0,0.0005787114368466517,0.38190060252000535,0.12734213804877825,,-0.41830745091982036,0.2804834466291448,0.17111790866827903,-0.007477640387405685,3.2,2026-07-31
78,61.077819724031315,90.73405535499398,1.6025548825049807,59.0121573695645,63.143482078498124,11755,Lake Grove,Suffolk County,NY,742918.0,0.08226474044308354,-0.0002900079648942011,0.03951333609622054,0.03747383394467188,-0.06121079150875208,-0.03841678444959912,-0.20936889072046228,-0.08519654263963945,2.8,2026-07-31
79,61.072327797992116,90.61371841155234,1.6025548825049807,61.44153915873451,60.703116437249726,10590,South Salem,Westchester County,NY,944392.0,0.06528534012421475,0.23966565737379675,-0.2598965532861559,0.06067392601681627,-0.39440824808625163,0.223312237295189,0.08998155578085942,-0.11096709644966714,4.0,2026-07-31
80,61.06300131160249,90.49338146811071,1.6025548825049807,62.597316691985185,59.52868593121979,11786,Shoreham,Suffolk County,NY,770681.0,0.040177726374610506,0.03639842247716807,0.2057695039584786,,-0.3389497307505611,-0.012221004854197137,-0.02576456226086421,-0.004370844367453677,2.7,2026-07-31
81,61.0055031900703,90.37304452466908,1.6025548825049807,65.18025289325753,56.830753486883076,07481,Wyckoff,Bergen County,NJ,1180972.0,0.08410705797100562,0.46321683512895895,0.18706552081899552,,-0.13358746904125351,0.21595762321486034,0.05163810966577742,0.00213481348946791,3.1,2026-07-31
82,60.9843134233309,90.25270758122743,1.6025548825049807,65.76210619481847,56.20652065184334,10706,Hastings on Hudson,Westchester County,NY,1169338.0,0.13082944591233706,0.4533171946557566,0.15837397865568192,0.03258252729030401,-0.07682464096369235,0.2514570580395864,0.060870487036435605,0.05625052995204731,3.2,2026-07-31
83,60.8978586073863,90.1323706377858,1.6025548825049807,62.98898049633432,58.80673671843828,10520,Croton-on-Hudson,Westchester County,NY,883853.0,-0.04308594884340486,0.17341459397816195,0.34539003718809447,,-0.06671056431664657,0.14328489162648317,0.02886126308962922,0.005615213205683298,3.7,2026-07-31
84,60.880766001568766,90.01203369434417,1.6025548825049807,57.29840585977318,64.46312614336435,07013,Clifton,Passaic County,NJ,638113.0,0.06878997757062102,-0.15236038845716315,-0.026836396598948653,0.049285920702039986,-0.18704439840295106,-0.07709600543420692,-0.00041948282088632993,0.1193438619516967,1.6,2026-07-31
85,60.852636593552944,89.89169675090253,1.6025548825049807,66.42985178332249,55.2754214037834,10583,Scarsdale,Westchester County,NY,1615554.0,0.09189126805977246,0.7765569626087352,0.5603342289951101,0.06565343676235023,-0.023651090831090515,0.3108611721294462,-0.04827808684201784,-0.0355989649648369,3.8,2026-07-31
86,60.83114684020628,89.7713598074609,1.6025548825049807,66.2113255162844,55.450968164128156,07627,Demarest,Bergen County,NJ,1577112.0,0.21890370839539522,0.752474226260917,0.3800539242861767,,0.13601994902702397,0.26848305566345954,0.06633083202178547,-0.03049371156111809,3.3,2026-07-31
87,60.82276759173483,89.65102286401925,1.6025548825049807,61.546931037317286,60.09860414615238,07922,Berkeley Heights,Union County,NJ,959460.0,0.04555216835249745,0.25549396337898145,0.0247528677930422,0.04198613685551232,-0.3361792511224799,0.25950468732434495,-0.11891656964808917,-0.00321150633427765,2.8,2026-07-31
88,60.815949272466085,89.53068592057761,1.6025548825049807,69.54326692169937,52.08863162323281,10504,Armonk,Westchester County,NY,1746645.0,-0.009372547004701554,0.8545758658576741,0.3406369869543031,,0.05436781241784838,0.31096084413043934,-0.06687816200495256,-0.17401464060124344,3.3,2026-07-31
89,60.808774785472785,89.41034897713598,1.6025548825049807,66.64696852490479,54.97058104604078,07704,Fair Haven,Monmouth County,NJ,1601958.0,0.16826159602653093,0.76810549472013,0.5290482398872101,,-0.032102558719695695,0.37776451620055784,0.10212224603317566,0.08624814482822556,3.8,2026-07-31
90,60.78664886006355,89.29001203369434,1.6025548825049807,63.03563222101046,58.53766549911664,08559,Stockton,Hunterdon County,NJ,695570.0,-0.0193706766366116,-0.06614391979271694,-0.12410089825029047,,-0.5356192112463962,0.145289513597484,0.21303245652588387,-0.08546805106654505,2.2,2026-07-31
91,60.725012746653,89.16967509025271,1.6025548825049807,53.465999456142356,67.98402603716364,08740,Ocean Gate,Ocean County,NJ,452864.0,0.13752500250998914,-0.4952837020321663,-0.3194348462944081,,-0.013870476530456033,-0.15591392301320917,-0.04183973681784359,-0.06017404180061421,2.3,2026-07-31
92,60.68335622171921,89.04933814681108,1.6025548825049807,59.678888350477166,61.68782409296125,11754,Kings Park,Suffolk County,NY,764968.0,0.050979023154442166,0.028958037429321237,-0.09523924113835847,,-0.06515948192455778,0.015081181776573582,-0.03793745615793398,-0.06693031244736299,2.4,2026-07-31
93,60.667018005094064,88.92900120336944,1.6025548825049807,53.70881588682228,67.62522012336585,11961,Ridge,Suffolk County,NY,521407.0,0.07940121426801064,-0.3543459710646655,-0.1923578783851312,,0.03333947894527678,-0.20161875307990496,-0.14958969419785895,-0.029765567342259394,2.7,2026-07-31
